Marka;Model;Seri;Yıl;Kilometre;Renk;Fiyat;Yer;Yakıt Tipi;Vites Tipi;Kasa Tipi;Motor Hacmi;Motor Gücü;Yakıt Deposu;Çekiş;Kimden
Audi;3.0 TDI Quattro Long;A8;2010;225000;Siyah;1650000;Göztepe Mh. Bağcılar, İstanbul;Dizel;Otomatik;Sedan;2501 - 3000 cm3;251 - 275 HP;;4WD (Sürekli);Galeriden
Audi;A3 Sedan 35 TFSI S-Line;A3;2021;64500;Beyaz;2051900;Terakki Mh. Merkez, Zonguldak;Benzin;Otomatik;Sedan;1401 - 1600 cm3;126 - 150 HP;;Önden Çekiş;Galeriden
Audi;A3 Sedan 1.6 TDI Ambition;A3;2014;156000;Beyaz;1195000;Hürriyet Mh. Akhisar, Manisa;Dizel;Yarı Otomatik;Sedan;1598 cc;110 hp;50 lt;Önden Çekiş;Galeriden
Audi;A4 Sedan 2.0 TDI Quattro;A4;2013;280000;Siyah;1475000;İspat Cami Mh. Keşan, Edirne;Dizel;Yarı Otomatik;Sedan;1968 cc;177 hp;63 lt;4WD (Sürekli);Galeriden
Audi;A6 Sedan 2.0 TDI;A6;2015;153000;Siyah;1945000;Göztepe Mh. Bağcılar, İstanbul;Dizel;Otomatik;Sedan;1801 - 2000 cm3;176 - 200 HP;;Önden Çekiş;Galeriden
Audi;A4 Sedan 2.0 TDI Dynamic;A4;2015;287000;Beyaz;1090000;Karacaahmet Mh. Şehitkamil, Gaziantep;Dizel;Otomatik;Sedan;1801 - 2000 cm3;176 - 200 HP;;Önden Çekiş;Galeriden
Audi;A3 Sedan 1.6 TDI Ambition;A3;2015;217000;Beyaz;1055000;Göztepe Mh. Bağcılar, İstanbul;Dizel;Yarı Otomatik;Sedan;1598 cc;110 hp;50 lt;Önden Çekiş;Galeriden
Audi;A6 Sedan 2.0 TDI;A6;2015;365000;Siyah;1490000;Karacaahmet Mh. Şehitkamil, Gaziantep;Dizel;Otomatik;Sedan;1801 - 2000 cm3;176 - 200 HP;;Önden Çekiş;Galeriden
Audi;A4 Sedan 2.0 TDI;A4;2012;317000;Beyaz;799000;Yeniçimşit Mh. Sincan, Ankara;Dizel;Otomatik;Sedan;1968 cc;143 hp;65 lt;Önden Çekiş;Galeriden
Audi;A4 Sedan 40 TDI Advanced;A4;2020;64000;Gri;2210000;Gözlükule Mh. Tarsus, Mersin;Dizel;Otomatik;Sedan;1801 - 2000 cm3;176 - 200 HP;;Önden Çekiş;Galeriden
Audi;A3 Sportback 1.0 TFSI Sport Line;A3;2017;140000;Gri;1180000;Çıkınlar Mh. Merkez, Bolu;Benzin;Otomatik;Hatchback/5;1200 cm3' e kadar;101 - 125 HP;;Önden Çekiş;Galeriden
Audi;A6 Sedan 2.0 TDI;A6;2012;280000;Beyaz;1270000;Baraj Mh. Kepez, Antalya;Dizel;Otomatik;Sedan;1968 cc;177 hp;65 lt;Önden Çekiş;Galeriden
Audi;A4 Sedan 2.0 TDI Dynamic;A4;2017;138500;Beyaz;1420000;Merkez Mh. Güngören, İstanbul;Dizel;Otomatik;Sedan;1801 - 2000 cm3;176 - 200 HP;;Önden Çekiş;Galeriden
