date;home_team;away_team;home_score;away_score;League
11.08.2007;Sunderland;Tottenham;1;0;Premier League
11.08.2007;Bolton;Newcastle;1;3;Premier League
11.08.2007;Derby County;Portsmouth;2;2;Premier League
11.08.2007;Everton;Wigan Ath;2;1;Premier League
11.08.2007;Middlesbrough;Blackburn;1;2;Premier League
11.08.2007;West Ham;Man. City;0;2;Premier League
11.08.2007;Aston Villa;Liverpool;1;2;Premier League
12.08.2007;Arsenal;Fulham;2;1;Premier League
12.08.2007;Chelsea;Birmingham;3;2;Premier League
12.08.2007;Man. United;Reading;0;0;Premier League
14.08.2007;Tottenham;Everton;1;3;Premier League
15.08.2007;Birmingham;Sunderland;2;2;Premier League
15.08.2007;Portsmouth;Man. United;1;1;Premier League
15.08.2007;Fulham;Bolton;2;1;Premier League
15.08.2007;Man. City;Derby County;1;0;Premier League
15.08.2007;Reading;Chelsea;1;2;Premier League
15.08.2007;Wigan Ath;Middlesbrough;1;0;Premier League
18.08.2007;Portsmouth;Bolton;3;1;Premier League
18.08.2007;Birmingham;West Ham;0;1;Premier League
18.08.2007;Fulham;Middlesbrough;1;2;Premier League
18.08.2007;Reading;Everton;1;0;Premier League
18.08.2007;Tottenham;Derby County;4;0;Premier League
18.08.2007;Wigan Ath;Sunderland;3;0;Premier League
18.08.2007;Newcastle;Aston Villa;0;0;Premier League
19.08.2007;Man. City;Man. United;1;0;Premier League
19.08.2007;Blackburn;Arsenal;1;1;Premier League
19.08.2007;Liverpool;Chelsea;1;1;Premier League
25.08.2007;Sunderland;Liverpool;0;2;Premier League
25.08.2007;Arsenal;Man. City;1;0;Premier League
25.08.2007;Aston Villa;Fulham;2;1;Premier League
25.08.2007;Bolton;Reading;3;0;Premier League
25.08.2007;Chelsea;Portsmouth;1;0;Premier League
25.08.2007;Derby County;Birmingham;1;2;Premier League
25.08.2007;West Ham;Wigan Ath;1;1;Premier League
25.08.2007;Everton;Blackburn;1;1;Premier League
26.08.2007;Middlesbrough;Newcastle;2;2;Premier League
26.08.2007;Man. United;Tottenham;1;0;Premier League
01.09.2007;Bolton;Everton;1;2;Premier League
01.09.2007;Fulham;Tottenham;3;3;Premier League
01.09.2007;Liverpool;Derby County;6;0;Premier League
01.09.2007;Middlesbrough;Birmingham;2;0;Premier League
01.09.2007;Newcastle;Wigan Ath;1;0;Premier League
01.09.2007;Reading;West Ham;0;3;Premier League
01.09.2007;Man. United;Sunderland;1;0;Premier League
02.09.2007;Arsenal;Portsmouth;3;1;Premier League
02.09.2007;Blackburn;Man. City;1;0;Premier League
02.09.2007;Aston Villa;Chelsea;2;0;Premier League
15.09.2007;Everton;Man. United;0;1;Premier League
15.09.2007;Portsmouth;Liverpool;0;0;Premier League
15.09.2007;Tottenham;Arsenal;1;3;Premier League
15.09.2007;Birmingham;Bolton;1;0;Premier League
15.09.2007;Sunderland;Reading;2;1;Premier League
15.09.2007;West Ham;Middlesbrough;3;0;Premier League
15.09.2007;Wigan Ath;Fulham;1;1;Premier League
15.09.2007;Chelsea;Blackburn;0;0;Premier League
16.09.2007;Man. City;Aston Villa;1;0;Premier League
17.09.2007;Derby County;Newcastle;1;0;Premier League
22.09.2007;Arsenal;Derby County;5;0;Premier League
22.09.2007;Liverpool;Birmingham;0;0;Premier League
22.09.2007;Middlesbrough;Sunderland;2;2;Premier League
22.09.2007;Reading;Wigan Ath;2;1;Premier League
22.09.2007;Fulham;Man. City;3;3;Premier League
23.09.2007;Newcastle;West Ham;3;1;Premier League
23.09.2007;Aston Villa;Everton;2;0;Premier League
23.09.2007;Blackburn;Portsmouth;0;1;Premier League
23.09.2007;Bolton;Tottenham;1;1;Premier League
23.09.2007;Man. United;Chelsea;2;0;Premier League
29.09.2007;Man. City;Newcastle;3;1;Premier League
29.09.2007;Chelsea;Fulham;0;0;Premier League
29.09.2007;Derby County;Bolton;1;1;Premier League
29.09.2007;Portsmouth;Reading;7;4;Premier League
29.09.2007;Sunderland;Blackburn;1;2;Premier League
29.09.2007;West Ham;Arsenal;0;1;Premier League
29.09.2007;Wigan Ath;Liverpool;0;1;Premier League
29.09.2007;Birmingham;Man. United;0;1;Premier League
30.09.2007;Everton;Middlesbrough;2;0;Premier League
01.10.2007;Tottenham;Aston Villa;4;4;Premier League
06.10.2007;Man. United;Wigan Ath;4;0;Premier League
06.10.2007;Aston Villa;West Ham;1;0;Premier League
07.10.2007;Arsenal;Sunderland;3;2;Premier League
07.10.2007;Reading;Derby County;1;0;Premier League
07.10.2007;Man. City;Middlesbrough;3;1;Premier League
07.10.2007;Blackburn;Birmingham;2;1;Premier League
07.10.2007;Bolton;Chelsea;0;1;Premier League
07.10.2007;Liverpool;Tottenham;2;2;Premier League
07.10.2007;Newcastle;Everton;3;2;Premier League
07.10.2007;Fulham;Portsmouth;0;2;Premier League
20.10.2007;Everton;Liverpool;1;2;Premier League
20.10.2007;Arsenal;Bolton;2;0;Premier League
20.10.2007;Blackburn;Reading;4;2;Premier League
20.10.2007;Fulham;Derby County;0;0;Premier League
20.10.2007;Man. City;Birmingham;1;0;Premier League
20.10.2007;Middlesbrough;Chelsea;0;2;Premier League
20.10.2007;Wigan Ath;Portsmouth;0;2;Premier League
20.10.2007;Aston Villa;Man. United;1;4;Premier League
21.10.2007;West Ham;Sunderland;3;1;Premier League
22.10.2007;Newcastle;Tottenham;3;1;Premier League
27.10.2007;Birmingham;Wigan Ath;3;2;Premier League
27.10.2007;Chelsea;Man. City;6;0;Premier League
27.10.2007;Man. United;Middlesbrough;4;1;Premier League
27.10.2007;Reading;Newcastle;2;1;Premier League
27.10.2007;Sunderland;Fulham;1;1;Premier League
27.10.2007;Portsmouth;West Ham;0;0;Premier League
28.10.2007;Bolton;Aston Villa;1;1;Premier League
28.10.2007;Derby County;Everton;0;2;Premier League
28.10.2007;Tottenham;Blackburn;1;2;Premier League
28.10.2007;Liverpool;Arsenal;1;1;Premier League
03.11.2007;Arsenal;Man. United;2;2;Premier League
03.11.2007;Aston Villa;Derby County;2;0;Premier League
03.11.2007;Everton;Birmingham;3;1;Premier League
03.11.2007;Fulham;Reading;3;1;Premier League
03.11.2007;Middlesbrough;Tottenham;1;1;Premier League
03.11.2007;Newcastle;Portsmouth;1;4;Premier League
03.11.2007;Wigan Ath;Chelsea;0;2;Premier League
03.11.2007;Blackburn;Liverpool;0;0;Premier League
04.11.2007;West Ham;Bolton;1;1;Premier League
05.11.2007;Man. City;Sunderland;1;0;Premier League
10.11.2007;Sunderland;Newcastle;1;1;Premier League
10.11.2007;Derby County;West Ham;0;5;Premier League
10.11.2007;Liverpool;Fulham;2;0;Premier League
11.11.2007;Birmingham;Aston Villa;1;2;Premier League
11.11.2007;Chelsea;Everton;1;1;Premier League
11.11.2007;Bolton;Middlesbrough;0;0;Premier League
11.11.2007;Man. United;Blackburn;2;0;Premier League
11.11.2007;Tottenham;Wigan Ath;4;0;Premier League
11.11.2007;Portsmouth;Man. City;0;0;Premier League
12.11.2007;Reading;Arsenal;1;3;Premier League
24.11.2007;Newcastle;Liverpool;0;3;Premier League
24.11.2007;Arsenal;Wigan Ath;2;0;Premier League
24.11.2007;Birmingham;Portsmouth;0;2;Premier League
24.11.2007;Bolton;Man. United;1;0;Premier League
24.11.2007;Everton;Sunderland;7;1;Premier League
24.11.2007;Man. City;Reading;2;1;Premier League
24.11.2007;Middlesbrough;Aston Villa;0;3;Premier League
24.11.2007;Derby County;Chelsea;0;2;Premier League
25.11.2007;West Ham;Tottenham;1;1;Premier League
25.11.2007;Fulham;Blackburn;2;2;Premier League
28.11.2007;Blackburn;Aston Villa;0;4;Premier League
01.12.2007;Chelsea;West Ham;1;0;Premier League
01.12.2007;Blackburn;Newcastle;3;1;Premier League
01.12.2007;Portsmouth;Everton;0;0;Premier League
01.12.2007;Reading;Middlesbrough;1;1;Premier League
01.12.2007;Sunderland;Derby County;1;0;Premier League
01.12.2007;Wigan Ath;Man. City;1;1;Premier League
01.12.2007;Aston Villa;Arsenal;1;2;Premier League
02.12.2007;Liverpool;Bolton;4;0;Premier League
02.12.2007;Tottenham;Birmingham;2;3;Premier League
03.12.2007;Man. United;Fulham;2;0;Premier League
05.12.2007;Newcastle;Arsenal;1;1;Premier League
08.12.2007;Aston Villa;Portsmouth;1;3;Premier League
08.12.2007;Chelsea;Sunderland;2;0;Premier League
08.12.2007;Everton;Fulham;3;0;Premier League
08.12.2007;Man. United;Derby County;4;1;Premier League
