date;home_team;away_team;home_score;away_score;League
22.05.2011;Aston Villa;Liverpool;1;0;Premier League
22.05.2011;Bolton;Man. City;0;2;Premier League
22.05.2011;Everton;Chelsea;1;0;Premier League
22.05.2011;Fulham;Arsenal;2;2;Premier League
22.05.2011;Man. United;Blackpool;4;2;Premier League
22.05.2011;Newcastle;West Bromwich;3;3;Premier League
22.05.2011;Stoke City;Wigan Ath;0;1;Premier League
22.05.2011;Tottenham;Birmingham;2;1;Premier League
22.05.2011;West Ham;Sunderland;0;3;Premier League
22.05.2011;Wolverhampton;Blackburn;2;3;Premier League
14.05.2011;Blackburn;Man. United;1;1;Premier League
14.05.2011;Blackpool;Bolton;4;3;Premier League
14.05.2011;Sunderland;Wolverhampton;1;3;Premier League
14.05.2011;West Bromwich;Everton;1;0;Premier League
15.05.2011;Chelsea;Newcastle;2;2;Premier League
15.05.2011;Arsenal;Aston Villa;1;2;Premier League
15.05.2011;Birmingham;Fulham;0;2;Premier League
15.05.2011;Liverpool;Tottenham;0;2;Premier League
15.05.2011;Wigan Ath;West Ham;3;2;Premier League
17.05.2011;Man. City;Stoke City;3;0;Premier League
07.05.2011;Aston Villa;Wigan Ath;1;1;Premier League
07.05.2011;Bolton;Sunderland;1;2;Premier League
07.05.2011;Everton;Man. City;2;1;Premier League
07.05.2011;Newcastle;Birmingham;2;1;Premier League
07.05.2011;West Ham;Blackburn;1;1;Premier League
07.05.2011;Tottenham;Blackpool;1;1;Premier League
08.05.2011;Wolverhampton;West Bromwich;3;1;Premier League
08.05.2011;Stoke City;Arsenal;3;1;Premier League
08.05.2011;Man. United;Chelsea;2;1;Premier League
09.05.2011;Fulham;Liverpool;2;5;Premier League
30.04.2011;Blackburn;Bolton;1;0;Premier League
30.04.2011;Blackpool;Stoke City;0;0;Premier League
30.04.2011;Sunderland;Fulham;0;3;Premier League
30.04.2011;West Bromwich;Aston Villa;2;1;Premier League
30.04.2011;Wigan Ath;Everton;1;1;Premier League
30.04.2011;Chelsea;Tottenham;2;1;Premier League
01.05.2011;Birmingham;Wolverhampton;1;1;Premier League
01.05.2011;Liverpool;Newcastle;3;0;Premier League
