date;home_team;away_team;home_score;away_score;League
26.05.2013;AC Ajaccio;Nice;0;2;Ligue 1
26.05.2013;Lorient;PSG;1;3;Ligue 1
26.05.2013;Bordeaux;Evian TG;2;1;Ligue 1
26.05.2013;Lille;St Etienne;1;1;Ligue 1
26.05.2013;Marsilya;Reims;0;0;Ligue 1
26.05.2013;Lyon;Rennes;2;0;Ligue 1
26.05.2013;Bastia;Sochaux;0;0;Ligue 1
26.05.2013;Brest;Nancy;1;2;Ligue 1
26.05.2013;Toulouse;Montpellier;2;0;Ligue 1
26.05.2013;Valenciennes;Troyes;2;1;Ligue 1
18.05.2013;Nancy;Bastia;1;2;Ligue 1
18.05.2013;St Etienne;Marsilya;2;0;Ligue 1
18.05.2013;Troyes;Bordeaux;1;0;Ligue 1
18.05.2013;Evian TG;Valenciennes;2;0;Ligue 1
18.05.2013;Sochaux;Toulouse;1;2;Ligue 1
18.05.2013;Montpellier;Lille;0;0;Ligue 1
18.05.2013;PSG;Brest;3;1;Ligue 1
18.05.2013;Reims;Lorient;1;0;Ligue 1
18.05.2013;Rennes;AC Ajaccio;1;1;Ligue 1
19.05.2013;Nice;Lyon;1;1;Ligue 1
10.05.2013;Lille;Reims;3;0;Ligue 1
11.05.2013;Marsilya;Toulouse;2;1;Ligue 1
11.05.2013;AC Ajaccio;Troyes;0;1;Ligue 1
11.05.2013;Bordeaux;Nancy;3;2;Ligue 1
11.05.2013;Bastia;Montpellier;3;1;Ligue 1
11.05.2013;Brest;Sochaux;0;2;Ligue 1
11.05.2013;Valenciennes;Rennes;4;1;Ligue 1
12.05.2013;Lorient;St Etienne;3;1;Ligue 1
12.05.2013;Evian TG;Nice;4;0;Ligue 1
12.05.2013;Lyon;PSG;0;1;Ligue 1
03.05.2013;St Etienne;Bordeaux;0;0;Ligue 1
04.05.2013;Marsilya;Bastia;2;1;Ligue 1
04.05.2013;Troyes;Evian TG;1;0;Ligue 1
04.05.2013;Sochaux;Lorient;1;0;Ligue 1
04.05.2013;Montpellier;Brest;2;1;Ligue 1
