date;home_team;away_team;home_score;away_score;League
22.05.2021;Bayern Münih;Augsburg;5;2;Bundesliga
22.05.2021;B. Dortmund;B. Leverkusen;3;1;Bundesliga
22.05.2021;Hoffenheim;Hertha Berlin;2;1;Bundesliga
22.05.2021;Wolfsburg;Mainz;2;3;Bundesliga
22.05.2021;E. Frankfurt;Freiburg;3;1;Bundesliga
22.05.2021;Union Berlin;Leipzig;2;1;Bundesliga
22.05.2021;Köln;Schalke 04;1;0;Bundesliga
22.05.2021;Werder Bremen;M'gladbach;2;4;Bundesliga
22.05.2021;Stuttgart;A. Bielefeld;0;2;Bundesliga
15.05.2021;M'gladbach;Stuttgart;1;2;Bundesliga
15.05.2021;B. Leverkusen;Union Berlin;1;1;Bundesliga
15.05.2021;Freiburg;Bayern Münih;2;2;Bundesliga
15.05.2021;Hertha Berlin;Köln;0;0;Bundesliga
15.05.2021;Schalke 04;E. Frankfurt;4;3;Bundesliga
15.05.2021;Augsburg;Werder Bremen;2;0;Bundesliga
15.05.2021;A. Bielefeld;Hoffenheim;1;1;Bundesliga
16.05.2021;Mainz;B. Dortmund;1;3;Bundesliga
16.05.2021;Leipzig;Wolfsburg;2;2;Bundesliga
07.05.2021;Stuttgart;Augsburg;2;1;Bundesliga
08.05.2021;B. Dortmund;Leipzig;3;2;Bundesliga
08.05.2021;Hoffenheim;Schalke 04;4;2;Bundesliga
08.05.2021;Wolfsburg;Union Berlin;3;0;Bundesliga
08.05.2021;Werder Bremen;B. Leverkusen;0;0;Bundesliga
08.05.2021;Bayern Münih;M'gladbach;6;0;Bundesliga
09.05.2021;Köln;Freiburg;1;4;Bundesliga
09.05.2021;E. Frankfurt;Mainz;1;1;Bundesliga
09.05.2021;Hertha Berlin;A. Bielefeld;0;0;Bundesliga
23.04.2021;Augsburg;Köln;2;3;Bundesliga
24.04.2021;Wolfsburg;B. Dortmund;0;2;Bundesliga
24.04.2021;Freiburg;Hoffenheim;1;1;Bundesliga
24.04.2021;Union Berlin;Werder Bremen;3;1;Bundesliga
24.04.2021;Mainz;Bayern Münih;2;1;Bundesliga
24.04.2021;B. Leverkusen;E. Frankfurt;3;1;Bundesliga
25.04.2021;Leipzig;Stuttgart;2;0;Bundesliga
25.04.2021;M'gladbach;A. Bielefeld;5;0;Bundesliga
12.05.2021;Schalke 04;Hertha Berlin;1;2;Bundesliga
20.04.2021;Köln;Leipzig;2;1;Bundesliga
20.04.2021;Bayern Münih;B. Leverkusen;2;0;Bundesliga
20.04.2021;E. Frankfurt;Augsburg;2;0;Bundesliga
20.04.2021;A. Bielefeld;Schalke 04;1;0;Bundesliga
21.04.2021;B. Dortmund;Union Berlin;2;0;Bundesliga
21.04.2021;Hoffenheim;M'gladbach;3;2;Bundesliga
21.04.2021;Werder Bremen;Mainz;0;1;Bundesliga
21.04.2021;Stuttgart;Wolfsburg;1;3;Bundesliga
06.05.2021;Hertha Berlin;Freiburg;3;0;Bundesliga
16.04.2021;Leipzig;Hoffenheim;0;0;Bundesliga
17.04.2021;M'gladbach;E. Frankfurt;4;0;Bundesliga
17.04.2021;Wolfsburg;Bayern Münih;2;3;Bundesliga
17.04.2021;Freiburg;Schalke 04;4;0;Bundesliga
17.04.2021;Union Berlin;Stuttgart;2;1;Bundesliga
17.04.2021;Augsburg;A. Bielefeld;0;0;Bundesliga
17.04.2021;B. Leverkusen;Köln;3;0;Bundesliga
18.04.2021;B. Dortmund;Werder Bremen;4;1;Bundesliga
03.05.2021;Mainz;Hertha Berlin;1;1;Bundesliga
09.04.2021;A. Bielefeld;Freiburg;1;0;Bundesliga
10.04.2021;Bayern Münih;Union Berlin;1;1;Bundesliga
10.04.2021;E. Frankfurt;Wolfsburg;4;3;Bundesliga
10.04.2021;Hertha Berlin;M'gladbach;2;2;Bundesliga
10.04.2021;Werder Bremen;Leipzig;1;4;Bundesliga
10.04.2021;Stuttgart;B. Dortmund;2;3;Bundesliga
11.04.2021;Schalke 04;Augsburg;1;0;Bundesliga
11.04.2021;Köln;Mainz;2;3;Bundesliga
12.04.2021;Hoffenheim;B. Leverkusen;0;0;Bundesliga
03.04.2021;B. Dortmund;E. Frankfurt;1;2;Bundesliga
03.04.2021;B. Leverkusen;Schalke 04;2;1;Bundesliga
03.04.2021;Wolfsburg;Köln;1;0;Bundesliga
03.04.2021;Mainz;A. Bielefeld;1;1;Bundesliga
03.04.2021;Augsburg;Hoffenheim;2;1;Bundesliga
03.04.2021;Leipzig;Bayern Münih;0;1;Bundesliga
03.04.2021;M'gladbach;Freiburg;2;1;Bundesliga
04.04.2021;Stuttgart;Werder Bremen;1;0;Bundesliga
04.04.2021;Union Berlin;Hertha Berlin;1;1;Bundesliga
19.03.2021;A. Bielefeld;Leipzig;0;1;Bundesliga
20.03.2021;Bayern Münih;Stuttgart;4;0;Bundesliga
20.03.2021;E. Frankfurt;Union Berlin;5;2;Bundesliga
20.03.2021;Köln;B. Dortmund;2;2;Bundesliga
20.03.2021;Werder Bremen;Wolfsburg;1;2;Bundesliga
20.03.2021;Schalke 04;M'gladbach;0;3;Bundesliga
21.03.2021;Hoffenheim;Mainz;1;2;Bundesliga
21.03.2021;Hertha Berlin;B. Leverkusen;3;0;Bundesliga
21.03.2021;Freiburg;Augsburg;2;0;Bundesliga
12.03.2021;Augsburg;M'gladbach;3;1;Bundesliga
13.03.2021;Wolfsburg;Schalke 04;5;0;Bundesliga
13.03.2021;Union Berlin;Köln;2;1;Bundesliga
13.03.2021;Mainz;Freiburg;1;0;Bundesliga
13.03.2021;Werder Bremen;Bayern Münih;1;3;Bundesliga
13.03.2021;B. Dortmund;Hertha Berlin;2;0;Bundesliga
14.03.2021;B. Leverkusen;A. Bielefeld;1;2;Bundesliga
14.03.2021;Leipzig;E. Frankfurt;1;1;Bundesliga
14.03.2021;Stuttgart;Hoffenheim;2;0;Bundesliga
05.03.2021;Schalke 04;Mainz;0;0;Bundesliga
06.03.2021;M'gladbach;B. Leverkusen;0;1;Bundesliga
06.03.2021;Hoffenheim;Wolfsburg;2;1;Bundesliga
06.03.2021;Freiburg;Leipzig;0;3;Bundesliga
06.03.2021;E. Frankfurt;Stuttgart;1;1;Bundesliga
06.03.2021;Hertha Berlin;Augsburg;2;1;Bundesliga
06.03.2021;Bayern Münih;B. Dortmund;4;2;Bundesliga
07.03.2021;Köln;Werder Bremen;1;1;Bundesliga
07.03.2021;A. Bielefeld;Union Berlin;0;0;Bundesliga
26.02.2021;Werder Bremen;E. Frankfurt;2;1;Bundesliga
27.02.2021;Bayern Münih;Köln;5;1;Bundesliga
27.02.2021;B. Dortmund;A. Bielefeld;3;0;Bundesliga
27.02.2021;Wolfsburg;Hertha Berlin;2;0;Bundesliga
27.02.2021;Stuttgart;Schalke 04;5;1;Bundesliga
27.02.2021;Leipzig;M'gladbach;3;2;Bundesliga
28.02.2021;Union Berlin;Hoffenheim;1;1;Bundesliga
28.02.2021;Mainz;Augsburg;0;1;Bundesliga
28.02.2021;B. Leverkusen;Freiburg;1;2;Bundesliga
19.02.2021;A. Bielefeld;Wolfsburg;0;3;Bundesliga
20.02.2021;M'gladbach;Mainz;1;2;Bundesliga
