date;home_team;away_team;home_score;away_score;League
13.05.2016;Valencia;R. Sociedad;0;1;La Liga
14.05.2016;Deportivo;Real Madrid;0;2;La Liga
14.05.2016;Granada;Barcelona;0;3;La Liga
14.05.2016;Ath. Bilbao;Sevilla;3;1;La Liga
14.05.2016;Atl. Madrid;Celta Vigo;2;0;La Liga
15.05.2016;Malaga;Las Palmas;4;1;La Liga
15.05.2016;Espanyol;Eibar;4;2;La Liga
15.05.2016;Sporting Gijon;Villarreal;2;0;La Liga
15.05.2016;Real Betis;Getafe;2;1;La Liga
15.05.2016;Rayo Vallecano;Levante;3;1;La Liga
08.05.2016;R. Sociedad;Rayo Vallecano;2;1;La Liga
08.05.2016;Real Madrid;Valencia;3;2;La Liga
08.05.2016;Villarreal;Deportivo;0;2;La Liga
08.05.2016;Getafe;Sporting Gijon;1;1;La Liga
08.05.2016;Eibar;Real Betis;1;1;La Liga
08.05.2016;Barcelona;Espanyol;5;0;La Liga
08.05.2016;Sevilla;Granada;1;4;La Liga
08.05.2016;Las Palmas;Ath. Bilbao;0;0;La Liga
08.05.2016;Celta Vigo;Malaga;1;0;La Liga
08.05.2016;Levante;Atl. Madrid;2;1;La Liga
29.04.2016;Sporting Gijon;Eibar;2;0;La Liga
30.04.2016;R. Sociedad;Real Madrid;0;1;La Liga
30.04.2016;Atl. Madrid;Rayo Vallecano;1;0;La Liga
30.04.2016;Real Betis;Barcelona;0;2;La Liga
30.04.2016;Granada;Las Palmas;3;2;La Liga
01.05.2016;Ath. Bilbao;Celta Vigo;2;1;La Liga
01.05.2016;Espanyol;Sevilla;1;0;La Liga
01.05.2016;Deportivo;Getafe;0;2;La Liga
01.05.2016;Valencia;Villarreal;0;2;La Liga
02.05.2016;Malaga;Levante;3;1;La Liga
22.04.2016;Las Palmas;Espanyol;4;0;La Liga
23.04.2016;Rayo Vallecano;Real Madrid;2;3;La Liga
23.04.2016;Atl. Madrid;Malaga;1;0;La Liga
23.04.2016;Barcelona;Sporting Gijon;6;0;La Liga
23.04.2016;Eibar;Deportivo;1;1;La Liga
24.04.2016;Levante;Ath. Bilbao;2;2;La Liga
24.04.2016;Sevilla;Real Betis;2;0;La Liga
24.04.2016;Getafe;Valencia;2;2;La Liga
24.04.2016;Villarreal;R. Sociedad;0;0;La Liga
25.04.2016;Celta Vigo;Granada;2;1;La Liga
19.04.2016;Espanyol;Celta Vigo;1;1;La Liga
19.04.2016;Real Betis;Las Palmas;1;0;La Liga
20.04.2016;Deportivo;Barcelona;0;8;La Liga
20.04.2016;Valencia;Eibar;4;0;La Liga
20.04.2016;Sporting Gijon;Sevilla;2;1;La Liga
20.04.2016;Ath. Bilbao;Atl. Madrid;0;1;La Liga
20.04.2016;Malaga;Rayo Vallecano;1;1;La Liga
20.04.2016;Real Madrid;Villarreal;3;0;La Liga
21.04.2016;R. Sociedad;Getafe;1;2;La Liga
21.04.2016;Granada;Levante;5;1;La Liga
15.04.2016;Levante;Espanyol;2;1;La Liga
16.04.2016;Getafe;Real Madrid;1;5;La Liga
16.04.2016;Las Palmas;Sporting Gijon;1;1;La Liga
16.04.2016;Eibar;R. Sociedad;2;1;La Liga
16.04.2016;Celta Vigo;Real Betis;1;1;La Liga
17.04.2016;Malaga;Ath. Bilbao;0;1;La Liga
17.04.2016;Sevilla;Deportivo;1;1;La Liga
17.04.2016;Rayo Vallecano;Villarreal;2;1;La Liga
17.04.2016;Atl. Madrid;Granada;3;0;La Liga
17.04.2016;Barcelona;Valencia;1;2;La Liga
08.04.2016;Granada;Malaga;0;0;La Liga
09.04.2016;Real Madrid;Eibar;4;0;La Liga
09.04.2016;Espanyol;Atl. Madrid;1;3;La Liga
09.04.2016;R. Sociedad;Barcelona;1;0;La Liga
09.04.2016;Real Betis;Levante;1;0;La Liga
10.04.2016;Sporting Gijon;Celta Vigo;0;1;La Liga
10.04.2016;Valencia;Sevilla;2;1;La Liga
10.04.2016;Villarreal;Getafe;2;0;La Liga
10.04.2016;Ath. Bilbao;Rayo Vallecano;1;0;La Liga
11.04.2016;Deportivo;Las Palmas;1;3;La Liga
01.04.2016;Rayo Vallecano;Getafe;2;0;La Liga
02.04.2016;Atl. Madrid;Real Betis;5;1;La Liga
02.04.2016;Las Palmas;Valencia;2;1;La Liga
02.04.2016;Barcelona;Real Madrid;1;2;La Liga
02.04.2016;Celta Vigo;Deportivo;1;1;La Liga
03.04.2016;Ath. Bilbao;Granada;1;1;La Liga
03.04.2016;Malaga;Espanyol;1;1;La Liga
03.04.2016;Eibar;Villarreal;1;2;La Liga
03.04.2016;Sevilla;R. Sociedad;1;2;La Liga
04.04.2016;Levante;Sporting Gijon;0;0;La Liga
18.03.2016;Getafe;Eibar;1;1;La Liga
19.03.2016;Sporting Gijon;Atl. Madrid;2;1;La Liga
19.03.2016;R. Sociedad;Las Palmas;0;1;La Liga
19.03.2016;Granada;Rayo Vallecano;2;2;La Liga
19.03.2016;Deportivo;Levante;2;1;La Liga
19.03.2016;Real Betis;Malaga;0;1;La Liga
20.03.2016;Espanyol;Ath. Bilbao;2;1;La Liga
20.03.2016;Villarreal;Barcelona;2;2;La Liga
20.03.2016;Valencia;Celta Vigo;0;2;La Liga
20.03.2016;Real Madrid;Sevilla;4;0;La Liga
11.03.2016;Malaga;Sporting Gijon;1;0;La Liga
12.03.2016;Barcelona;Getafe;6;0;La Liga
12.03.2016;Celta Vigo;R. Sociedad;1;0;La Liga
12.03.2016;Atl. Madrid;Deportivo;3;0;La Liga
12.03.2016;Rayo Vallecano;Eibar;1;1;La Liga
13.03.2016;Levante;Valencia;1;0;La Liga
13.03.2016;Sevilla;Villarreal;4;2;La Liga
13.03.2016;Ath. Bilbao;Real Betis;3;1;La Liga
13.03.2016;Las Palmas;Real Madrid;1;2;La Liga
14.03.2016;Granada;Espanyol;1;1;La Liga
05.03.2016;Real Madrid;Celta Vigo;7;1;La Liga
05.03.2016;Villarreal;Las Palmas;0;1;La Liga
05.03.2016;Getafe;Sevilla;1;1;La Liga
05.03.2016;Deportivo;Malaga;3;3;La Liga
06.03.2016;Real Betis;Granada;2;0;La Liga
06.03.2016;Eibar;Barcelona;0;4;La Liga
06.03.2016;R. Sociedad;Levante;1;1;La Liga
06.03.2016;Sporting Gijon;Ath. Bilbao;0;2;La Liga
06.03.2016;Valencia;Atl. Madrid;1;3;La Liga
07.03.2016;Espanyol;Rayo Vallecano;2;1;La Liga
01.03.2016;Atl. Madrid;R. Sociedad;3;0;La Liga
01.03.2016;Las Palmas;Getafe;4;0;La Liga
02.03.2016;Sevilla;Eibar;1;0;La Liga
02.03.2016;Celta Vigo;Villarreal;0;0;La Liga
