date;home_team;away_team;home_score;away_score;League
17.05.2013;Mersin İ.Y.;Gaziantepspor;1;2;Süper Lig
18.05.2013;Karabükspor;Fenerbahçe;3;2;Süper Lig
18.05.2013;Orduspor;Akhisarspor;0;2;Süper Lig
18.05.2013;Başakşehir;Kasımpaşa;1;2;Süper Lig
18.05.2013;Galatasaray;Trabzonspor;2;0;Süper Lig
19.05.2013;Elazığspor;Sivasspor;0;0;Süper Lig
19.05.2013;Gençlerbirliği;Bursaspor;2;2;Süper Lig
19.05.2013;Kayserispor;Beşiktaş;2;0;Süper Lig
19.05.2013;Eskişehirspor;Antalyaspor;3;1;Süper Lig
10.05.2013;Kasımpaşa;Kayserispor;1;2;Süper Lig
10.05.2013;Gaziantepspor;Elazığspor;1;1;Süper Lig
11.05.2013;Beşiktaş;Gençlerbirliği;3;0;Süper Lig
11.05.2013;Antalyaspor;Orduspor;1;0;Süper Lig
12.05.2013;Fenerbahçe;Galatasaray;2;1;Süper Lig
13.05.2013;Bursaspor;Eskişehirspor;0;0;Süper Lig
13.05.2013;Sivasspor;Karabükspor;2;1;Süper Lig
13.05.2013;Akhisarspor;Mersin İ.Y.;1;0;Süper Lig
13.05.2013;Trabzonspor;Başakşehir;4;3;Süper Lig
03.05.2013;Gençlerbirliği;Kasımpaşa;0;0;Süper Lig
04.05.2013;Orduspor;Bursaspor;2;4;Süper Lig
04.05.2013;Kayserispor;Trabzonspor;2;1;Süper Lig
05.05.2013;Eskişehirspor;Beşiktaş;1;2;Süper Lig
05.05.2013;Başakşehir;Fenerbahçe;2;0;Süper Lig
05.05.2013;Karabükspor;Gaziantepspor;0;2;Süper Lig
05.05.2013;Galatasaray;Sivasspor;4;2;Süper Lig
05.05.2013;Antalyaspor;Akhisarspor;4;3;Süper Lig
05.05.2013;Mersin İ.Y.;Elazığspor;0;2;Süper Lig
26.04.2013;Mersin İ.Y.;Antalyaspor;1;1;Süper Lig
27.04.2013;Elazığspor;Karabükspor;1;0;Süper Lig
27.04.2013;Bursaspor;Akhisarspor;1;1;Süper Lig
27.04.2013;Trabzonspor;Gençlerbirliği;2;0;Süper Lig
27.04.2013;Beşiktaş;Orduspor;2;0;Süper Lig
27.04.2013;Sivasspor;Başakşehir;4;1;Süper Lig
28.04.2013;Kasımpaşa;Eskişehirspor;1;2;Süper Lig
28.04.2013;Fenerbahçe;Kayserispor;2;1;Süper Lig
28.04.2013;Gaziantepspor;Galatasaray;0;1;Süper Lig
19.04.2013;Galatasaray;Elazığspor;3;1;Süper Lig
20.04.2013;Orduspor;Kasımpaşa;0;2;Süper Lig
20.04.2013;Karabükspor;Mersin İ.Y.;1;0;Süper Lig
20.04.2013;Akhisarspor;Beşiktaş;4;1;Süper Lig
21.04.2013;Başakşehir;Gaziantepspor;1;3;Süper Lig
21.04.2013;Kayserispor;Sivasspor;1;1;Süper Lig
21.04.2013;Antalyaspor;Bursaspor;0;1;Süper Lig
21.04.2013;Gençlerbirliği;Fenerbahçe;2;0;Süper Lig
22.04.2013;Eskişehirspor;Trabzonspor;0;1;Süper Lig
12.04.2013;Trabzonspor;Orduspor;1;0;Süper Lig
12.04.2013;Sivasspor;Gençlerbirliği;1;1;Süper Lig
13.04.2013;Mersin İ.Y.;Bursaspor;0;1;Süper Lig
13.04.2013;Karabükspor;Galatasaray;0;1;Süper Lig
14.04.2013;Kasımpaşa;Akhisarspor;0;1;Süper Lig
14.04.2013;Gaziantepspor;Kayserispor;0;1;Süper Lig
14.04.2013;Fenerbahçe;Eskişehirspor;1;0;Süper Lig
14.04.2013;Elazığspor;Başakşehir;1;0;Süper Lig
15.04.2013;Beşiktaş;Antalyaspor;1;0;Süper Lig
05.04.2013;Antalyaspor;Kasımpaşa;3;2;Süper Lig
06.04.2013;Başakşehir;Karabükspor;2;2;Süper Lig
06.04.2013;Kayserispor;Elazığspor;4;1;Süper Lig
06.04.2013;Galatasaray;Mersin İ.Y.;3;1;Süper Lig
07.04.2013;Gençlerbirliği;Gaziantepspor;2;2;Süper Lig
07.04.2013;Akhisarspor;Trabzonspor;1;0;Süper Lig
07.04.2013;Orduspor;Fenerbahçe;0;2;Süper Lig
07.04.2013;Eskişehirspor;Sivasspor;2;1;Süper Lig
08.04.2013;Bursaspor;Beşiktaş;3;0;Süper Lig
30.03.2013;Gaziantepspor;Eskişehirspor;2;0;Süper Lig
30.03.2013;Sivasspor;Orduspor;3;2;Süper Lig
30.03.2013;Galatasaray;Başakşehir;2;0;Süper Lig
31.03.2013;Kasımpaşa;Bursaspor;2;0;Süper Lig
31.03.2013;Trabzonspor;Antalyaspor;2;0;Süper Lig
31.03.2013;Fenerbahçe;Akhisarspor;2;0;Süper Lig
31.03.2013;Elazığspor;Gençlerbirliği;1;1;Süper Lig
01.04.2013;Karabükspor;Kayserispor;3;1;Süper Lig
01.04.2013;Mersin İ.Y.;Beşiktaş;1;2;Süper Lig
15.03.2013;Bursaspor;Trabzonspor;3;2;Süper Lig
15.03.2013;Eskişehirspor;Elazığspor;2;2;Süper Lig
16.03.2013;Başakşehir;Mersin İ.Y.;4;2;Süper Lig
16.03.2013;Gençlerbirliği;Karabükspor;2;1;Süper Lig
16.03.2013;Beşiktaş;Kasımpaşa;1;3;Süper Lig
17.03.2013;Orduspor;Gaziantepspor;2;3;Süper Lig
17.03.2013;Akhisarspor;Sivasspor;2;1;Süper Lig
17.03.2013;Kayserispor;Galatasaray;1;3;Süper Lig
17.03.2013;Antalyaspor;Fenerbahçe;1;2;Süper Lig
08.03.2013;Galatasaray;Gençlerbirliği;0;1;Süper Lig
09.03.2013;Başakşehir;Kayserispor;0;0;Süper Lig
09.03.2013;Gaziantepspor;Akhisarspor;2;2;Süper Lig
09.03.2013;Trabzonspor;Beşiktaş;0;0;Süper Lig
10.03.2013;Karabükspor;Eskişehirspor;0;0;Süper Lig
10.03.2013;Sivasspor;Antalyaspor;2;1;Süper Lig
10.03.2013;Elazığspor;Orduspor;1;0;Süper Lig
10.03.2013;Fenerbahçe;Bursaspor;4;1;Süper Lig
11.03.2013;Mersin İ.Y.;Kasımpaşa;1;1;Süper Lig
01.03.2013;Gençlerbirliği;Başakşehir;0;0;Süper Lig
02.03.2013;Orduspor;Karabükspor;3;2;Süper Lig
02.03.2013;Eskişehirspor;Galatasaray;0;0;Süper Lig
02.03.2013;Akhisarspor;Elazığspor;0;1;Süper Lig
03.03.2013;Kayserispor;Mersin İ.Y.;2;1;Süper Lig
03.03.2013;Antalyaspor;Gaziantepspor;5;2;Süper Lig
03.03.2013;Bursaspor;Sivasspor;1;0;Süper Lig
03.03.2013;Beşiktaş;Fenerbahçe;3;2;Süper Lig
04.03.2013;Kasımpaşa;Trabzonspor;2;0;Süper Lig
22.02.2013;Gaziantepspor;Bursaspor;2;1;Süper Lig
23.02.2013;Başakşehir;Eskişehirspor;2;2;Süper Lig
23.02.2013;Elazığspor;Antalyaspor;2;1;Süper Lig
23.02.2013;Sivasspor;Beşiktaş;0;1;Süper Lig
23.02.2013;Mersin İ.Y.;Trabzonspor;0;1;Süper Lig
24.02.2013;Kayserispor;Gençlerbirliği;1;0;Süper Lig
24.02.2013;Fenerbahçe;Kasımpaşa;3;1;Süper Lig
24.02.2013;Karabükspor;Akhisarspor;0;2;Süper Lig
25.02.2013;Galatasaray;Orduspor;4;2;Süper Lig
15.02.2013;Akhisarspor;Galatasaray;1;2;Süper Lig
16.02.2013;Eskişehirspor;Kayserispor;0;3;Süper Lig
16.02.2013;Beşiktaş;Gaziantepspor;1;1;Süper Lig
16.02.2013;Antalyaspor;Karabükspor;0;0;Süper Lig
17.02.2013;Gençlerbirliği;Mersin İ.Y.;3;1;Süper Lig
17.02.2013;Orduspor;Başakşehir;2;2;Süper Lig
17.02.2013;Bursaspor;Elazığspor;1;0;Süper Lig
17.02.2013;Trabzonspor;Fenerbahçe;0;3;Süper Lig
18.02.2013;Kasımpaşa;Sivasspor;1;0;Süper Lig
09.02.2013;Başakşehir;Akhisarspor;0;2;Süper Lig
09.02.2013;Gençlerbirliği;Eskişehirspor;0;2;Süper Lig
09.02.2013;Elazığspor;Beşiktaş;1;3;Süper Lig
09.02.2013;Karabükspor;Bursaspor;0;3;Süper Lig
10.02.2013;Sivasspor;Trabzonspor;2;0;Süper Lig
10.02.2013;Kayserispor;Orduspor;0;0;Süper Lig
10.02.2013;Mersin İ.Y.;Fenerbahçe;0;1;Süper Lig
10.02.2013;Galatasaray;Antalyaspor;2;0;Süper Lig
11.02.2013;Gaziantepspor;Kasımpaşa;2;1;Süper Lig
01.02.2013;Akhisarspor;Kayserispor;1;2;Süper Lig
01.02.2013;Beşiktaş;Karabükspor;2;2;Süper Lig
02.02.2013;Kasımpaşa;Elazığspor;0;0;Süper Lig
02.02.2013;Bursaspor;Galatasaray;1;1;Süper Lig
02.02.2013;Antalyaspor;Başakşehir;1;0;Süper Lig
03.02.2013;Orduspor;Gençlerbirliği;2;1;Süper Lig
03.02.2013;Trabzonspor;Gaziantepspor;4;1;Süper Lig
03.02.2013;Eskişehirspor;Mersin İ.Y.;0;0;Süper Lig
03.02.2013;Fenerbahçe;Sivasspor;1;2;Süper Lig
25.01.2013;Karabükspor;Kasımpaşa;0;3;Süper Lig
26.01.2013;Başakşehir;Bursaspor;4;1;Süper Lig
26.01.2013;Gençlerbirliği;Akhisarspor;1;0;Süper Lig
26.01.2013;Gaziantepspor;Fenerbahçe;1;2;Süper Lig
27.01.2013;Kayserispor;Antalyaspor;2;0;Süper Lig
27.01.2013;Elazığspor;Trabzonspor;3;1;Süper Lig
27.01.2013;Mersin İ.Y.;Sivasspor;3;0;Süper Lig
27.01.2013;Galatasaray;Beşiktaş;2;1;Süper Lig
28.01.2013;Eskişehirspor;Orduspor;1;0;Süper Lig
18.01.2013;Kasımpaşa;Galatasaray;2;1;Süper Lig
19.01.2013;Sivasspor;Gaziantepspor;0;0;Süper Lig
19.01.2013;Beşiktaş;Başakşehir;2;2;Süper Lig
19.01.2013;Bursaspor;Kayserispor;2;1;Süper Lig
20.01.2013;Antalyaspor;Gençlerbirliği;3;5;Süper Lig
20.01.2013;Trabzonspor;Karabükspor;1;3;Süper Lig
20.01.2013;Fenerbahçe;Elazığspor;2;2;Süper Lig
21.01.2013;Orduspor;Mersin İ.Y.;1;1;Süper Lig
21.01.2013;Akhisarspor;Eskişehirspor;1;1;Süper Lig
21.12.2012;Beşiktaş;Kayserispor;3;1;Süper Lig
21.12.2012;Akhisarspor;Orduspor;0;0;Süper Lig
22.12.2012;Kasımpaşa;Başakşehir;0;2;Süper Lig
22.12.2012;Fenerbahçe;Karabükspor;1;3;Süper Lig
23.12.2012;Sivasspor;Elazığspor;3;1;Süper Lig
23.12.2012;Gaziantepspor;Mersin İ.Y.;2;1;Süper Lig
23.12.2012;Bursaspor;Gençlerbirliği;0;0;Süper Lig
23.12.2012;Antalyaspor;Eskişehirspor;2;1;Süper Lig
23.12.2012;Trabzonspor;Galatasaray;0;0;Süper Lig
14.12.2012;Eskişehirspor;Bursaspor;2;2;Süper Lig
15.12.2012;Mersin İ.Y.;Akhisarspor;2;1;Süper Lig
15.12.2012;Elazığspor;Gaziantepspor;0;0;Süper Lig
15.12.2012;Gençlerbirliği;Beşiktaş;1;1;Süper Lig
16.12.2012;Başakşehir;Trabzonspor;2;1;Süper Lig
16.12.2012;Karabükspor;Sivasspor;1;0;Süper Lig
16.12.2012;Orduspor;Antalyaspor;1;1;Süper Lig
16.12.2012;Galatasaray;Fenerbahçe;2;1;Süper Lig
17.12.2012;Kayserispor;Kasımpaşa;1;0;Süper Lig
07.12.2012;Beşiktaş;Eskişehirspor;2;2;Süper Lig
07.12.2012;Elazığspor;Mersin İ.Y.;1;0;Süper Lig
08.12.2012;Kasımpaşa;Gençlerbirliği;2;2;Süper Lig
08.12.2012;Gaziantepspor;Karabükspor;0;2;Süper Lig
08.12.2012;Sivasspor;Galatasaray;1;3;Süper Lig
08.12.2012;Bursaspor;Orduspor;1;0;Süper Lig
09.12.2012;Trabzonspor;Kayserispor;1;1;Süper Lig
09.12.2012;Fenerbahçe;Başakşehir;2;1;Süper Lig
09.01.2013;Akhisarspor;Antalyaspor;1;0;Süper Lig
30.11.2012;Galatasaray;Gaziantepspor;1;1;Süper Lig
01.12.2012;Karabükspor;Elazığspor;0;1;Süper Lig
01.12.2012;Akhisarspor;Bursaspor;2;2;Süper Lig
