date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
15.05.2016;Arsenal;Aston Villa;4;0;Premier League;Fair;ENE;5 mph;48  °F;66%;30.19 in
15.05.2016;Southampton;Crystal Palace;4;1;Premier League;Shallow Fog;CALM;0 mph;41  °F;93%;30.18 in
15.05.2016;Chelsea;Leicester City;1;1;Premier League;Fair;ENE;5 mph;48  °F;66%;30.19 in
15.05.2016;West Bromwich;Liverpool;1;1;Premier League;Fair;WNW;3 mph;46  °F;71%;29.86 in
15.05.2016;Swansea City;Man. City;1;1;Premier League;Fair;WNW;6 mph;46  °F;100%;29.97 in
15.05.2016;Everton;Norwich;3;0;Premier League;Fair;W;6 mph;45  °F;87%;30.12 in
15.05.2016;Watford;Sunderland;2;2;Premier League;Fair;ENE;5 mph;48  °F;66%;30.19 in
15.05.2016;Newcastle;Tottenham;5;1;Premier League;Cloudy;NNW;1 mph;43  °F;76%;29.89 in
15.05.2016;Stoke City;West Ham;2;1;Premier League;Fair;SW;2 mph;41  °F;87%;29.93 in
17.05.2016;Man. United;Bournemouth;3;1;Premier League;Fair;CALM;0 mph;43  °F;87%;29.84 in
7.05.2016;Norwich;Man. United;0;1;Premier League;Mist;NE;3 mph;48  °F;100%;29.67 in
7.05.2016;Sunderland;Chelsea;3;2;Premier League;Mist;NNE;6 mph;46  °F;93%;29.60 in
7.05.2016;Aston Villa;Newcastle;0;0;Premier League;Fair;N;5 mph;55  °F;77%;29.42 in
7.05.2016;Crystal Palace;Stoke City;2;1;Premier League;Mist;E;8 mph;57  °F;77%;29.75 in
7.05.2016;West Ham;Swansea City;1;4;Premier League;Mist;E;8 mph;57  °F;77%;29.75 in
7.05.2016;Bournemouth;West Bromwich;1;1;Premier League;Fair;VAR;1 mph;54  °F;72%;29.67 in
7.05.2016;Leicester City;Everton;3;1;Premier League;Fair;NE;5 mph;50  °F;87%;29.46 in
8.05.2016;Tottenham;Southampton;1;2;Premier League;Fair;E;5 mph;59  °F;67%;29.72 in
8.05.2016;Man. City;Arsenal;2;2;Premier League;Fair;E;10 mph;55  °F;82%;29.46 in
8.05.2016;Liverpool;Watford;2;0;Premier League;Showers in the Vicinity;E;13 mph;55  °F;94%;29.65 in
30.04.2016;Watford;Aston Villa;3;2;Premier League;Fair;NW;7 mph;45  °F;66%;29.96 in
30.04.2016;Everton;Bournemouth;2;1;Premier League;Fair;WNW;9 mph;43  °F;81%;29.88 in
30.04.2016;Newcastle;Crystal Palace;1;0;Premier League;Fair;W;7 mph;36  °F;87%;29.60 in
30.04.2016;Stoke City;Sunderland;1;1;Premier League;Fair;S;6 mph;36  °F;87%;29.70 in
30.04.2016;West Bromwich;West Ham;0;3;Premier League;Fair;NW;12 mph;41  °F;76%;29.62 in
30.04.2016;Arsenal;Norwich;1;0;Premier League;Fair;NW;7 mph;45  °F;66%;29.96 in
1.05.2016;Swansea City;Liverpool;3;1;Premier League;Fair;WNW;5 mph;41  °F;87%;30.09 in
1.05.2016;Man. United;Leicester City;1;1;Premier League;Fair;S;7 mph;41  °F;81%;29.99 in
1.05.2016;Southampton;Man. City;4;2;Premier League;Fair;CALM;0 mph;34  °F;100%;30.35 in
2.05.2016;Chelsea;Tottenham;2;2;Premier League;Cloudy;SSW;12 mph;52  °F;76%;30.28 in
13.04.2016;Crystal Palace;Everton;0;0;Premier League;Fair;VAR;2 mph;50  °F;76%;29.72 in
23.04.2016;Man. City;Stoke City;4;0;Premier League;Fair;NE;5 mph;41  °F;70%;29.93 in
23.04.2016;Bournemouth;Chelsea;1;4;Premier League;Fair;N;8 mph;41  °F;87%;30.08 in
23.04.2016;Liverpool;Newcastle;2;2;Premier League;Fair;ENE;6 mph;43  °F;70%;30.12 in
23.04.2016;Aston Villa;Southampton;2;4;Premier League;Fair;NNE;7 mph;41  °F;70%;29.80 in
24.04.2016;Sunderland;Arsenal;0;0;Premier League;Fair;WNW;5 mph;36  °F;75%;29.86 in
24.04.2016;Leicester City;Swansea City;4;0;Premier League;Mostly Cloudy;E;5 mph;41  °F;81%;29.78 in
25.04.2016;Tottenham;West Bromwich;1;1;Premier League;Fair;WNW;10 mph;46  °F;76%;30.04 in
10.05.2016;West Ham;Man. United;3;2;Premier League;Cloudy;E;6 mph;61  °F;82%;29.78 in
11.05.2016;Norwich;Watford;4;2;Premier League;Mist;NNE;5 mph;55  °F;100%;29.58 in
16.04.2016;Norwich;Sunderland;0;3;Premier League;Cloudy;NW;6 mph;43  °F;100%;29.32 in
16.04.2016;Man. United;Aston Villa;1;0;Premier League;Light Rain;NNE;13 mph;37  °F;87%;29.29 in
16.04.2016;Everton;Southampton;1;1;Premier League;Light Rain;NNE;15 mph;39  °F;87%;29.47 in
16.04.2016;Newcastle;Swansea City;3;0;Premier League;Fair;NNW;6 mph;34  °F;93%;29.31 in
16.04.2016;West Bromwich;Watford;0;1;Premier League;Mostly Cloudy;N;5 mph;39  °F;93%;29.18 in
16.04.2016;Chelsea;Man. City;0;3;Premier League;Mostly Cloudy;W;7 mph;48  °F;87%;29.45 in
17.04.2016;Bournemouth;Liverpool;1;2;Premier League;Fair;N;6 mph;28  °F;93%;29.87 in
17.04.2016;Leicester City;West Ham;2;2;Premier League;Fair;W;8 mph;34  °F;93%;29.52 in
17.04.2016;Arsenal;Crystal Palace;1;1;Premier League;Fair;NW;6 mph;41  °F;76%;29.81 in
18.04.2016;Stoke City;Tottenham;0;4;Premier League;Mostly Cloudy;SW;7 mph;43  °F;70%;29.78 in
9.04.2016;West Ham;Arsenal;3;3;Premier League;Fair;SSW;10 mph;46  °F;76%;29.72 in
9.04.2016;Aston Villa;Bournemouth;1;2;Premier League;Light Rain;S;9 mph;46  °F;81%;29.30 in
9.04.2016;Swansea City;Chelsea;1;0;Premier League;Light Rain;WSW;13 mph;46  °F;93%;29.41 in
9.04.2016;Watford;Everton;1;1;Premier League;Fair;SSW;10 mph;46  °F;76%;29.72 in
9.04.2016;Southampton;Newcastle;3;1;Premier League;Showers in the Vicinity;VAR;2 mph;43  °F;93%;29.56 in
9.04.2016;Crystal Palace;Norwich;1;0;Premier League;Fair;SSW;10 mph;46  °F;76%;29.72 in
9.04.2016;Man. City;West Bromwich;2;1;Premier League;Light Rain;S;10 mph;45  °F;87%;29.32 in
10.04.2016;Sunderland;Leicester City;0;2;Premier League;Fair;WNW;6 mph;41  °F;87%;29.34 in
10.04.2016;Liverpool;Stoke City;4;1;Premier League;Fair;SSE;6 mph;39  °F;93%;29.56 in
10.04.2016;Tottenham;Man. United;3;0;Premier League;Fair;SW;5 mph;43  °F;70%;29.69 in
2.04.2016;Aston Villa;Chelsea;0;4;Premier League;Fair;S;10 mph;46  °F;71%;29.56 in
2.04.2016;West Ham;Crystal Palace;2;2;Premier League;Fair;SSE;7 mph;48  °F;62%;29.98 in
2.04.2016;Bournemouth;Man. City;0;4;Premier League;Fair;S;9 mph;48  °F;87%;29.87 in
2.04.2016;Norwich;Newcastle;3;2;Premier League;Fair;S;9 mph;45  °F;76%;29.87 in
2.04.2016;Stoke City;Swansea City;2;2;Premier League;Light Rain;S;14 mph;46  °F;87%;29.58 in
2.04.2016;Arsenal;Watford;4;0;Premier League;Fair;SSE;7 mph;48  °F;62%;29.98 in
2.04.2016;Sunderland;West Bromwich;0;0;Premier League;Partly Cloudy;SSW;12 mph;46  °F;76%;29.48 in
2.04.2016;Liverpool;Tottenham;1;1;Premier League;Fair;S;14 mph;48  °F;82%;29.73 in
3.04.2016;Leicester City;Southampton;1;0;Premier League;Light Rain;SSE;3 mph;43  °F;100%;29.40 in
3.04.2016;Man. United;Everton;1;0;Premier League;Fair;SSE;12 mph;48  °F;71%;29.43 in
19.03.2016;Everton;Arsenal;0;2;Premier League;Cloudy;ENE;8 mph;43  °F;76%;30.29 in
19.03.2016;Crystal Palace;Leicester City;0;1;Premier League;Cloudy;NE;6 mph;45  °F;71%;30.28 in
19.03.2016;West Bromwich;Norwich;0;1;Premier League;Mostly Cloudy;NNE;7 mph;41  °F;87%;30.00 in
19.03.2016;Watford;Stoke City;1;2;Premier League;Cloudy;NE;6 mph;45  °F;71%;30.28 in
19.03.2016;Chelsea;West Ham;2;2;Premier League;Cloudy;NE;6 mph;45  °F;71%;30.28 in
19.03.2016;Swansea City;Aston Villa;1;0;Premier League;Cloudy;ENE;14 mph;43  °F;87%;30.09 in
20.03.2016;Southampton;Liverpool;3;2;Premier League;Mostly Cloudy;NE;7 mph;41  °F;76%;30.24 in
20.03.2016;Newcastle;Sunderland;1;1;Premier League;Mostly Cloudy;WNW;6 mph;41  °F;87%;30.04 in
20.03.2016;Tottenham;Bournemouth;3;0;Premier League;Cloudy;NE;12 mph;43  °F;70%;30.28 in
20.03.2016;Man. City;Man. United;0;1;Premier League;Mostly Cloudy;NE;9 mph;41  °F;81%;30.08 in
12.03.2016;Norwich;Man. City;0;0;Premier League;Mist;SE;7 mph;39  °F;100%;30.29 in
12.03.2016;Stoke City;Southampton;1;2;Premier League;Fair;S;9 mph;43  °F;81%;30.08 in
