date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
06.03.2020;Marsilya;Amiens;2;2;Ligue 1;Fair / Windy;W;23 mph;50 °F;76 %;29.62 in
07.03.2020;Nice;Monaco;2;1;Ligue 1;Fair;N;9 mph;50 °F;54 %;29.61 in
07.03.2020;Dijon;Toulouse;2;1;Ligue 1;Partly Cloudy;WNW;7 mph;45 °F;87 %;29.75 in
07.03.2020;Angers;Nantes;2;0;Ligue 1;Fair;N;9 mph;50 °F;54 %;29.61 in
07.03.2020;Metz;Nimes;2;1;Ligue 1;Mostly Cloudy;W;17 mph;43 °F;87 %;29.55 in
07.03.2020;Reims;Brest;1;0;Ligue 1;Fair;WNW;9 mph;34 °F;93 %;29.28 in
08.03.2020;St Etienne;Bordeaux;1;1;Ligue 1;Fair;S;14 mph;48 °F;76 %;29.85 in
08.03.2020;Rennes;Montpellier;5;0;Ligue 1;Mostly Cloudy;SSW;12 mph;48 °F;87 %;29.99 in
08.03.2020;Lille;Lyon;1;0;Ligue 1;Fair;S;14 mph;48 °F;76 %;29.85 in
28.02.2020;Nimes;Marsilya;2;3;Ligue 1;Fair;SSE;3 mph;39 °F;81 %;29.93 in
29.02.2020;PSG;Dijon;4;0;Ligue 1;Mostly Cloudy;SSW;20 mph;52 °F;88 %;29.37 in
29.02.2020;Amiens;Metz;0;1;Ligue 1;Cloudy / Windy;SSW;23 mph;48 °F;93 %;29.11 in
29.02.2020;Brest;Angers;0;1;Ligue 1;Cloudy / Windy;SSW;30 mph;52 °F;88 %;29.05 in
29.02.2020;Toulouse;Rennes;0;2;Ligue 1;Fair;SE;14 mph;52 °F;88 %;29.35 in
29.02.2020;Monaco;Reims;1;1;Ligue 1;Fair;NNW;10 mph;48 °F;57 %;30.06 in
29.02.2020;Montpellier;Strasbourg;3;0;Ligue 1;Fair;SE;14 mph;52 °F;88 %;29.35 in
01.03.2020;Nantes;Lille;0;1;Ligue 1;Light Rain / Windy;W;24 mph;43 °F;81 %;29.11 in
01.03.2020;Bordeaux;Nice;1;1;Ligue 1;Fair;S;7 mph;48 °F;93 %;29.32 in
01.03.2020;Lyon;St Etienne;2;0;Ligue 1;Fair;S;10 mph;52 °F;76 %;28.90 in
21.02.2020;Nice;Brest;2;2;Ligue 1;Partly Cloudy;NNW;7 mph;50 °F;71 %;30.17 in
21.02.2020;Metz;Lyon;0;2;Ligue 1;Fair;W;6 mph;46 °F;71 %;29.87 in
22.02.2020;Marsilya;Nantes;1;3;Ligue 1;Fair;SE;5 mph;43 °F;70 %;30.30 in
22.02.2020;Lille;Toulouse;3;0;Ligue 1;Fair;SSW;16 mph;43 °F;81 %;30.05 in
22.02.2020;Dijon;Monaco;1;1;Ligue 1;Cloudy / Windy;SSW;21 mph;48 °F;87 %;29.96 in
22.02.2020;Strasbourg;Amiens;0;0;Ligue 1;Fair;S;6 mph;37 °F;81 %;29.86 in
22.02.2020;Angers;Montpellier;1;0;Ligue 1;Fair;NNW;7 mph;50 °F;82 %;30.29 in
23.02.2020;St Etienne;Reims;1;1;Ligue 1;Cloudy;WSW;17 mph;50 °F;82 %;30.05 in
23.02.2020;Rennes;Nimes;2;1;Ligue 1;Cloudy;SSW;9 mph;52 °F;94 %;30.28 in
23.02.2020;PSG;Bordeaux;4;3;Ligue 1;Mostly Cloudy;SW;16 mph;52 °F;82 %;30.01 in
14.02.2020;Monaco;Montpellier;1;0;Ligue 1;Fair / Windy;WSW;22 mph;57 °F;72 %;29.91 in
15.02.2020;Amiens;PSG;4;4;Ligue 1;Fair;S;7 mph;41 °F;93 %;29.60 in
15.02.2020;Bordeaux;Dijon;2;2;Ligue 1;Fair;VAR;2 mph;43 °F;87 %;29.75 in
15.02.2020;Nantes;Metz;0;0;Ligue 1;Cloudy / Windy;SSW;22 mph;54 °F;94 %;29.67 in
15.02.2020;Toulouse;Nice;0;2;Ligue 1;Fair;VAR;2 mph;43 °F;87 %;29.75 in
15.02.2020;Nimes;Angers;1;0;Ligue 1;Cloudy;S;10 mph;54 °F;88 %;30.02 in
16.02.2020;Lyon;Strasbourg;1;1;Ligue 1;Fair;S;18 mph;54 °F;58 %;29.36 in
16.02.2020;Brest;St Etienne;3;2;Ligue 1;Light Rain / Windy;SSW;33 mph;55 °F;94 %;29.29 in
16.02.2020;Reims;Rennes;1;0;Ligue 1;Fair / Windy;SSW;21 mph;52 °F;76 %;29.37 in
16.02.2020;Lille;Marsilya;1;2;Ligue 1;Cloudy / Windy;S;29 mph;55 °F;72 %;29.55 in
07.02.2020;Angers;Lille;0;2;Ligue 1;Fair;NNW;14 mph;46 °F;62 %;30.32 in
08.02.2020;Marsilya;Toulouse;1;0;Ligue 1;Fair;VAR;2 mph;46 °F;76 %;30.27 in
08.02.2020;Rennes;Brest;0;0;Ligue 1;Fair;S;13 mph;52 °F;88 %;29.90 in
08.02.2020;Dijon;Nantes;3;3;Ligue 1;Rain;SW;17 mph;52 °F;94 %;29.58 in
08.02.2020;Amiens;Monaco;1;2;Ligue 1;Fair;S;12 mph;37 °F;93 %;29.52 in
08.02.2020;Nice;Nimes;1;3;Ligue 1;Fair;NNW;9 mph;46 °F;71 %;30.26 in
08.02.2020;Metz;Bordeaux;1;2;Ligue 1;Fair;SSE;7 mph;46 °F;87 %;29.66 in
09.02.2020;Montpellier;St Etienne;1;0;Ligue 1;Fair;SSW;6 mph;46 °F;93 %;29.75 in
09.02.2020;Strasbourg;Reims;3;0;Ligue 1;Fair;WSW;3 mph;37 °F;93 %;29.69 in
09.02.2020;PSG;Lyon;4;2;Ligue 1;Partly Cloudy;SSW;7 mph;45 °F;100 %;29.78 in
04.02.2020;Lille;Rennes;1;0;Ligue 1;Mostly Cloudy;W;12 mph;43 °F;93 %;29.64 in
04.02.2020;Monaco;Angers;1;0;Ligue 1;Mostly Cloudy;NNW;6 mph;52 °F;88 %;30.00 in
04.02.2020;Nantes;PSG;1;2;Ligue 1;Mostly Cloudy;NW;14 mph;46 °F;76 %;29.87 in
05.02.2020;Toulouse;Strasbourg;0;1;Ligue 1;Fair;W;8 mph;43 °F;81 %;29.98 in
05.02.2020;Reims;Nice;1;1;Ligue 1;Cloudy;NW;14 mph;43 °F;93 %;29.75 in
05.02.2020;Nimes;Dijon;2;0;Ligue 1;Cloudy;WSW;5 mph;45 °F;81 %;30.43 in
05.02.2020;Montpellier;Metz;1;1;Ligue 1;Fair;W;8 mph;43 °F;81 %;29.98 in
05.02.2020;Lyon;Amiens;0;0;Ligue 1;Mostly Cloudy;NNW;13 mph;41 °F;81 %;29.53 in
05.02.2020;Brest;Bordeaux;1;1;Ligue 1;Cloudy;WNW;3 mph;41 °F;93 %;30.22 in
05.02.2020;St Etienne;Marsilya;0;2;Ligue 1;Cloudy;NW;12 mph;45 °F;87 %;30.23 in
31.01.2020;Rennes;Nantes;3;2;Ligue 1;Cloudy;SSW;8 mph;54 °F;94 %;29.75 in
01.02.2020;PSG;Montpellier;5;0;Ligue 1;Light Drizzle;SSW;13 mph;54 °F;94 %;29.52 in
01.02.2020;Dijon;Brest;3;0;Ligue 1;Light Rain;WSW;12 mph;54 °F;100 %;29.40 in
01.02.2020;Nimes;Monaco;3;1;Ligue 1;Light Rain;S;12 mph;55 °F;94 %;29.67 in
01.02.2020;Angers;Reims;1;4;Ligue 1;Mostly Cloudy;NW;6 mph;54 °F;77 %;30.06 in
01.02.2020;Strasbourg;Lille;1;2;Ligue 1;Mostly Cloudy;S;12 mph;54 °F;88 %;29.40 in
01.02.2020;Amiens;Toulouse;0;0;Ligue 1;Cloudy;SSW;20 mph;52 °F;100 %;29.26 in
02.02.2020;Nice;Lyon;2;1;Ligue 1;Fair;NW;6 mph;52 °F;88 %;30.00 in
02.02.2020;Metz;St Etienne;3;1;Ligue 1;Fair;SSW;2 mph;52 °F;94 %;29.72 in
02.02.2020;Bordeaux;Marsilya;0;0;Ligue 1;Fair;SSW;2 mph;52 °F;94 %;29.72 in
24.01.2020;Nice;Rennes;1;1;Ligue 1;Fair;NNW;9 mph;50 °F;71 %;30.26 in
25.01.2020;Marsilya;Angers;0;0;Ligue 1;Mist;SE;3 mph;50 °F;94 %;30.15 in
25.01.2020;Brest;Amiens;2;1;Ligue 1;Mist;NE;5 mph;39 °F;93 %;29.73 in
25.01.2020;Monaco;Strasbourg;1;3;Ligue 1;Light Rain;NNW;8 mph;50 °F;87 %;30.14 in
