date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
23.05.2009;Wolfsburg;Werder Bremen;5;1;Bundesliga;Fair;WSW;60 °F;8 mph;73 %;30.06 in
23.05.2009;E. Frankfurt;Hamburg;2;3;Bundesliga;Fair;NNW;55 °F;3 mph;58 %;29.69 in
23.05.2009;Bayern Münih;Stuttgart;2;1;Bundesliga;Fair;W;61 °F;8 mph;63 %;28.53 in
23.05.2009;E. Cottbus;B. Leverkusen;3;0;Bundesliga;Fair;WSW;48 °F;6 mph;93 %;29.95 in
23.05.2009;A. Bielefeld;Hannover 96;2;2;Bundesliga;Fair;WSW;48 °F;6 mph;93 %;29.95 in
23.05.2009;Karlsruher;Hertha Berlin;4;0;Bundesliga;Fair;WSW;48 °F;6 mph;93 %;29.95 in
23.05.2009;Köln;Bochum;1;1;Bundesliga;Fair;WSW;48 °F;6 mph;93 %;29.95 in
23.05.2009;M'gladbach;B. Dortmund;1;1;Bundesliga;Fair;NNW;52 °F;2 mph;62 %;29.96 in
23.05.2009;Schalke 04;Hoffenheim;2;3;Bundesliga;Fair;WSW;48 °F;6 mph;93 %;29.95 in
16.05.2009;Hoffenheim;Bayern Münih;2;2;Bundesliga;Cloudy;SSE;55 °F;4 mph;93 %;29.53 in
16.05.2009;Hertha Berlin;Schalke 04;0;0;Bundesliga;Mostly Cloudy;E;54 °F;13 mph;62 %;29.71 in
16.05.2009;Hannover 96;Wolfsburg;0;5;Bundesliga;Mostly Cloudy;E;54 °F;13 mph;62 %;29.71 in
16.05.2009;Bochum;E. Frankfurt;2;0;Bundesliga;Fair;SSW;46 °F;8 mph;93 %;29.41 in
16.05.2009;Werder Bremen;Karlsruher;1;3;Bundesliga;Mostly Cloudy;SSE;52 °F;6 mph;88 %;29.70 in
16.05.2009;Stuttgart;E. Cottbus;2;0;Bundesliga;Mostly Cloudy;SSW;54 °F;5 mph;88 %;28.43 in
16.05.2009;B. Dortmund;A. Bielefeld;6;0;Bundesliga;Fair;SSW;46 °F;8 mph;93 %;29.41 in
