date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
20.05.2017;Bayern Münih;Freiburg;4;1;Bundesliga;Mostly Cloudy;WSW;14 mph;48 °F;82 %;28.56 in
20.05.2017;B. Dortmund;Werder Bremen;4;3;Bundesliga;;S;7 mph;46 °F;87 %;29.55 in
20.05.2017;M'gladbach;Darmstadt 98;2;2;Bundesliga;Fair;S;7 mph;46 °F;87 %;29.55 in
20.05.2017;Hertha Berlin;B. Leverkusen;2;6;Bundesliga;T-Storm;WNW;10 mph;52 °F;100 %;29.83 in
20.05.2017;Köln;Mainz;2;0;Bundesliga;T-Storm;WNW;10 mph;52 °F;100 %;29.83 in
20.05.2017;Hamburg;Wolfsburg;2;1;Bundesliga;T-Storm;WNW;10 mph;52 °F;100 %;29.83 in
20.05.2017;Ingolstadt;Schalke 04;1;1;Bundesliga;T-Storm;WNW;10 mph;52 °F;100 %;29.83 in
20.05.2017;Hoffenheim;Augsburg;0;0;Bundesliga;Mostly Cloudy;S;9 mph;52 °F;89 %;29.73 in
20.05.2017;E. Frankfurt;Leipzig;2;2;Bundesliga;Mostly Cloudy;S;7 mph;52 °F;94 %;29.64 in
13.05.2017;B. Leverkusen;Köln;2;2;Bundesliga;Light Rain Shower;E;6 mph;59 °F;82 %;29.36 in
13.05.2017;Schalke 04;Hamburg;1;1;Bundesliga;Light Rain;ENE;10 mph;55 °F;94 %;29.65 in
13.05.2017;Mainz;E. Frankfurt;4;2;Bundesliga;Mostly Cloudy;S;3 mph;55 °F;94 %;29.34 in
13.05.2017;Wolfsburg;M'gladbach;1;1;Bundesliga;Cloudy;W;2 mph;58 °F;100 %;29.43 in
13.05.2017;Augsburg;B. Dortmund;1;1;Bundesliga;Fair;SW;9 mph;48 °F;93 %;27.68 in
13.05.2017;Werder Bremen;Hoffenheim;3;5;Bundesliga;Shallow Fog;SE;2 mph;55 °F;94 %;29.68 in
13.05.2017;Darmstadt 98;Hertha Berlin;0;2;Bundesliga;Light Rain;ENE;10 mph;55 °F;94 %;29.65 in
13.05.2017;Freiburg;Ingolstadt;1;1;Bundesliga;Mostly Cloudy;VAR;2 mph;54 °F;94 %;28.85 in
13.05.2017;Leipzig;Bayern Münih;4;5;Bundesliga;Fair;SSE;5 mph;55 °F;100 %;29.24 in
05.05.2017;Köln;Werder Bremen;4;3;Bundesliga;Light Rain;NE;15 mph;45 °F;87 %;30.12 in
06.05.2017;Bayern Münih;Darmstadt 98;1;0;Bundesliga;Fair;NE;5 mph;45 °F;93 %;28.48 in
06.05.2017;B. Dortmund;Hoffenheim;2;1;Bundesliga;Fog;NE;6 mph;41 °F;93 %;29.52 in
06.05.2017;M'gladbach;Augsburg;1;1;Bundesliga;Partly Cloudy;ENE;7 mph;46 °F;87 %;29.88 in
06.05.2017;Ingolstadt;B. Leverkusen;1;1;Bundesliga;Mostly Cloudy;ENE;5 mph;46 °F;93 %;30.06 in
06.05.2017;E. Frankfurt;Wolfsburg;0;2;Bundesliga;Fair;ENE;5 mph;48 °F;87 %;29.64 in
06.05.2017;Hertha Berlin;Leipzig;1;4;Bundesliga;Mostly Cloudy;ENE;5 mph;46 °F;93 %;30.06 in
07.05.2017;Hamburg;Mainz;0;0;Bundesliga;Fair;VAR;2 mph;45 °F;93 %;29.86 in
07.05.2017;Freiburg;Schalke 04;2;0;Bundesliga;Light Rain;SW;5 mph;52 °F;94 %;28.96 in
28.04.2017;B. Leverkusen;Schalke 04;1;4;Bundesliga;Fair;VAR;1 mph;43 °F;76 %;29.62 in
29.04.2017;B. Dortmund;Köln;0;0;Bundesliga;Fair;VAR;3 mph;36 °F;87 %;29.58 in
29.04.2017;Mainz;M'gladbach;1;2;Bundesliga;Fair;WSW;3 mph;48 °F;66 %;29.61 in
29.04.2017;Werder Bremen;Hertha Berlin;2;0;Bundesliga;Patches of Fog;WSW;5 mph;36 °F;100 %;29.94 in
29.04.2017;Darmstadt 98;Freiburg;3;0;Bundesliga;Fair;WSW;5 mph;39 °F;93 %;29.89 in
29.04.2017;Leipzig;Ingolstadt;0;0;Bundesliga;Fair;S;7 mph;45 °F;71 %;29.47 in
