date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
17.05.2014;Udinese;Sampdoria;3;3;Serie A;Partly Cloudy;CALM;0 mph;55 °F;47 %;29.90 in
18.05.2014;Catania;Atalanta;2;1;Serie A;Fair;WSW;3 mph;55 °F;63 %;30.03 in
18.05.2014;Juventus;Cagliari;3;0;Serie A;Fair;SSW;6 mph;50 °F;76 %;29.82 in
18.05.2014;Genoa;Roma;1;0;Serie A;Partly Cloudy;NNE;6 mph;59 °F;82 %;30.02 in
18.05.2014;Lazio;Bologna;1;0;Serie A;Fair;SE;3 mph;55 °F;82 %;29.57 in
18.05.2014;Napoli;Hellas Verona;5;1;Serie A;Fair;NNE;2 mph;57 °F;88 %;29.84 in
18.05.2014;Chievo;Inter;2;1;Serie A;Fair;W;7 mph;63 °F;59 %;29.59 in
18.05.2014;Parma;Livorno;2;0;Serie A;Fair;SSW;6 mph;50 °F;76 %;29.82 in
18.05.2014;Milan;Sassuolo;2;1;Serie A;Fair;W;7 mph;63 °F;59 %;29.59 in
18.05.2014;Fiorentina;Torino;2;2;Serie A;Fair;ENE;6 mph;54 °F;77 %;29.90 in
10.05.2014;Hellas Verona;Udinese;2;2;Serie A;Fair;NE;6 mph;61 °F;77 %;29.74 in
10.05.2014;Inter;Lazio;4;1;Serie A;Fair;W;7 mph;66 °F;49 %;29.59 in
11.05.2014;Atalanta;Milan;2;1;Serie A;Fair;WNW;7 mph;63 °F;82 %;29.04 in
11.05.2014;Bologna;Catania;1;2;Serie A;Fair;VAR;2 mph;68 °F;52 %;29.68 in
11.05.2014;Cagliari;Chievo;0;1;Serie A;Fair;W;6 mph;63 °F;77 %;29.50 in
11.05.2014;Livorno;Fiorentina;0;1;Serie A;Partly Cloudy;WSW;6 mph;61 °F;88 %;29.97 in
11.05.2014;Sassuolo;Genoa;4;2;Serie A;Fair;WSW;50 °F;8 mph;100 %;30.06 in
11.05.2014;Sampdoria;Napoli;2;5;Serie A;Fair;S;5 mph;66 °F;68 %;29.85 in
11.05.2014;Torino;Parma;1;1;Serie A;Fair;W;5 mph;61 °F;72 %;28.91 in
11.05.2014;Roma;Juventus;0;1;Serie A;Partly Cloudy;WSW;2 mph;61 °F;82 %;29.54 in
04.05.2014;Genoa;Bologna;0;0;Serie A;Mostly Cloudy;SE;6 mph;63 °F;55 %;29.75 in
04.05.2014;Udinese;Livorno;5;3;Serie A;Mostly Cloudy;VAR;1 mph;57 °F;63 %;29.75 in
04.05.2014;Catania;Roma;4;1;Serie A;Partly Cloudy;W;7 mph;52 °F;82 %;29.62 in
04.05.2014;Parma;Sampdoria;2;0;Serie A;Partly Cloudy;VAR;3 mph;48 °F;93 %;29.68 in
04.05.2014;Chievo;Torino;0;1;Serie A;Fair;NNW;3 mph;55 °F;88 %;29.45 in
04.05.2014;Milan;Inter;1;0;Serie A;Fair;NNW;3 mph;55 °F;88 %;29.45 in
05.05.2014;Lazio;Hellas Verona;3;3;Serie A;Partly Cloudy;NE;3 mph;50 °F;66 %;29.40 in
05.05.2014;Juventus;Atalanta;1;0;Serie A;Fair;VAR;3 mph;48 °F;87 %;29.88 in
06.05.2014;Fiorentina;Sassuolo;3;4;Serie A;Fair;E;6 mph;54 °F;82 %;29.93 in
06.05.2014;Napoli;Cagliari;3;0;Serie A;Fair;VAR;2 mph;57 °F;88 %;29.81 in
25.04.2014;Roma;Milan;2;0;Serie A;Fair;CALM;0 mph;59 °F;63 %;29.43 in
26.04.2014;Bologna;Fiorentina;0;3;Serie A;Fair;SW;7 mph;57 °F;82 %;29.62 in
26.04.2014;Inter;Napoli;0;0;Serie A;Fair;VAR;2 mph;59 °F;77 %;29.42 in
27.04.2014;Hellas Verona;Catania;4;0;Serie A;Mostly Cloudy;ENE;10 mph;63 °F;72 %;29.53 in
27.04.2014;Sampdoria;Chievo;2;1;Serie A;Partly Cloudy;VAR;2 mph;64 °F;83 %;29.76 in
27.04.2014;Livorno;Lazio;0;2;Serie A;Fair;W;1 mph;57 °F;94 %;29.79 in
27.04.2014;Cagliari;Parma;1;0;Serie A;Partly Cloudy;E;12 mph;63 °F;72 %;29.33 in
27.04.2014;Torino;Udinese;2;0;Serie A;Light Rain Shower;N;20 mph;57 °F;82 %;28.71 in
27.04.2014;Atalanta;Genoa;1;1;Serie A;Fair;E;6 mph;63 °F;63 %;28.90 in
28.04.2014;Sassuolo;Juventus;1;3;Serie A;Mostly Cloudy;VAR;2 mph;57 °F;82 %;29.55 in
19.04.2014;Genoa;Cagliari;1;2;Serie A;Partly Cloudy;ESE;7 mph;57 °F;82 %;29.60 in
19.04.2014;Atalanta;Hellas Verona;1;2;Serie A;Light Rain;NNW;9 mph;50 °F;76 %;28.81 in
19.04.2014;Parma;Inter;0;2;Serie A;Light Rain;VAR;3 mph;54 °F;72 %;29.44 in
19.04.2014;Milan;Livorno;3;0;Serie A;Thunder in the Vicinity;NE;13 mph;52 °F;76 %;29.27 in
19.04.2014;Udinese;Napoli;1;1;Serie A;Mostly Cloudy;CALM;0 mph;54 °F;77 %;29.64 in
19.04.2014;Catania;Sampdoria;2;1;Serie A;Fair;W;6 mph;46 °F;66 %;29.77 in
19.04.2014;Chievo;Sassuolo;0;1;Serie A;Thunder in the Vicinity;NE;13 mph;52 °F;76 %;29.27 in
19.04.2014;Lazio;Torino;3;3;Serie A;Partly Cloudy;SSE;5 mph;55 °F;77 %;29.28 in
19.04.2014;Juventus;Bologna;1;0;Serie A;Light Rain;VAR;3 mph;54 °F;72 %;29.44 in
19.04.2014;Fiorentina;Roma;0;1;Serie A;Fair;E;5 mph;54 °F;82 %;29.54 in
12.04.2014;Sassuolo;Cagliari;1;1;Serie A;Fair;WSW;50 °F;8 mph;100 %;30.06 in
12.04.2014;Roma;Atalanta;3;1;Serie A;Fair;SE;3 mph;52 °F;88 %;29.57 in
13.04.2014;Bologna;Parma;1;1;Serie A;Fair;ENE;5 mph;54 °F;94 %;29.86 in
13.04.2014;Livorno;Chievo;2;4;Serie A;Fair;SSW;3 mph;52 °F;100 %;30.03 in
13.04.2014;Hellas Verona;Fiorentina;3;5;Serie A;Fair;ENE;5 mph;55 °F;77 %;29.82 in
13.04.2014;Torino;Genoa;2;1;Serie A;Partly Cloudy;NNE;8 mph;61 °F;72 %;28.99 in
13.04.2014;Sampdoria;Inter;0;4;Serie A;Fair;VAR;2 mph;57 °F;72 %;30.02 in
13.04.2014;Napoli;Lazio;4;2;Serie A;Partly Cloudy;W;2 mph;59 °F;82 %;29.78 in
13.04.2014;Milan;Catania;1;0;Serie A;Partly Cloudy;E;6 mph;59 °F;67 %;29.65 in
14.04.2014;Udinese;Juventus;0;2;Serie A;Fair;VAR;1 mph;48 °F;100 %;30.02 in
05.04.2014;Chievo;Hellas Verona;0;1;Serie A;Light Rain;SSW;3 mph;54 °F;100 %;29.39 in
05.04.2014;Inter;Bologna;2;2;Serie A;Light Rain;SSW;3 mph;54 °F;100 %;29.39 in
06.04.2014;Lazio;Sampdoria;2;0;Serie A;Fair;N;5 mph;54 °F;82 %;29.34 in
06.04.2014;Cagliari;Roma;1;3;Serie A;Partly Cloudy;NW;2 mph;55 °F;88 %;29.59 in
06.04.2014;Atalanta;Sassuolo;0;2;Serie A;Partly Cloudy;N;7 mph;54 °F;88 %;29.13 in
06.04.2014;Catania;Torino;1;2;Serie A;Fair;S;6 mph;52 °F;88 %;29.68 in
06.04.2014;Fiorentina;Udinese;2;1;Serie A;Fair;VAR;2 mph;57 °F;72 %;29.78 in
06.04.2014;Parma;Napoli;1;0;Serie A;Partly Cloudy;SSW;6 mph;50 °F;94 %;29.82 in
07.04.2014;Juventus;Livorno;2;0;Serie A;Fair;S;5 mph;54 °F;82 %;29.91 in
07.04.2014;Genoa;Milan;1;2;Serie A;Fair;CALM;0 mph;59 °F;67 %;30.05 in
29.03.2014;Bologna;Atalanta;0;2;Serie A;Fair;SW;8 mph;50 °F;71 %;29.95 in
29.03.2014;Milan;Chievo;3;0;Serie A;Fair;N;3 mph;50 °F;71 %;29.74 in
30.03.2014;Sassuolo;Roma;0;2;Serie A;Fair;WSW;50 °F;8 mph;100 %;30.06 in
30.03.2014;Torino;Cagliari;2;1;Serie A;Fair;CALM;0 mph;52 °F;58 %;29.17 in
30.03.2014;Sampdoria;Fiorentina;0;0;Serie A;Fair;CALM;0 mph;52 °F;71 %;30.14 in
30.03.2014;Hellas Verona;Genoa;3;0;Serie A;Fair;NNW;7 mph;52 °F;71 %;29.94 in
30.03.2014;Lazio;Parma;3;2;Serie A;Fair;ENE;3 mph;50 °F;82 %;29.66 in
30.03.2014;Napoli;Juventus;2;0;Serie A;Fair;N;5 mph;55 °F;63 %;29.86 in
31.03.2014;Udinese;Catania;1;0;Serie A;Fair;CALM;0 mph;46 °F;71 %;29.99 in
31.03.2014;Livorno;Inter;2;2;Serie A;Fair;NNE;1 mph;48 °F;93 %;30.06 in
25.03.2014;Roma;Torino;2;1;Serie A;Fair;ENE;2 mph;39 °F;87 %;29.37 in
26.03.2014;Chievo;Bologna;3;0;Serie A;Mostly Cloudy;N;5 mph;43 °F;93 %;29.39 in
26.03.2014;Cagliari;Hellas Verona;1;0;Serie A;Mostly Cloudy;N;5 mph;43 °F;93 %;29.39 in
26.03.2014;Genoa;Lazio;2;0;Serie A;Light Drizzle;NE;5 mph;45 °F;87 %;29.75 in
26.03.2014;Atalanta;Livorno;2;0;Serie A;Light Drizzle;NNE;6 mph;41 °F;87 %;28.93 in
26.03.2014;Fiorentina;Milan;0;2;Serie A;Fair;CALM;0 mph;46 °F;87 %;29.60 in
26.03.2014;Catania;Napoli;2;4;Serie A;Fair;WSW;13 mph;48 °F;82 %;29.71 in
26.03.2014;Juventus;Parma;2;1;Serie A;Partly Cloudy;NE;5 mph;43 °F;100 %;29.65 in
26.03.2014;Sassuolo;Sampdoria;1;2;Serie A;Showers in the Vicinity;NW;6 mph;50 °F;82 %;29.70 in
27.03.2014;Inter;Udinese;0;0;Serie A;Mostly Cloudy;N;6 mph;46 °F;87 %;29.50 in
22.03.2014;Torino;Livorno;3;1;Serie A;Mist;N;6 mph;52 °F;88 %;28.99 in
22.03.2014;Chievo;Roma;0;2;Serie A;Mostly Cloudy;W;6 mph;57 °F;72 %;29.65 in
23.03.2014;Parma;Genoa;1;1;Serie A;Light Rain;SW;6 mph;52 °F;88 %;29.41 in
23.03.2014;Inter;Atalanta;1;2;Serie A;Light Rain;ESE;13 mph;52 °F;94 %;29.27 in
23.03.2014;Bologna;Cagliari;1;0;Serie A;Partly Cloudy;S;14 mph;61 °F;59 %;29.51 in
23.03.2014;Sampdoria;Hellas Verona;5;0;Serie A;Mostly Cloudy;NNE;5 mph;55 °F;94 %;29.73 in
23.03.2014;Udinese;Sassuolo;1;0;Serie A;Light Rain;S;6 mph;55 °F;88 %;0.00 in
23.03.2014;Napoli;Fiorentina;0;1;Serie A;Fair;VAR;1 mph;57 °F;82 %;29.72 in
23.03.2014;Catania;Juventus;0;1;Serie A;Fair;W;10 mph;52 °F;76 %;29.94 in
23.03.2014;Lazio;Milan;1;1;Serie A;Partly Cloudy;SSE;15 mph;55 °F;88 %;29.46 in
15.03.2014;Hellas Verona;Inter;0;2;Serie A;Fair;N;5 mph;48 °F;82 %;29.97 in
16.03.2014;Atalanta;Sampdoria;3;0;Serie A;Mist;N;5 mph;45 °F;81 %;29.13 in
16.03.2014;Livorno;Bologna;2;1;Serie A;Mist;ESE;5 mph;46 °F;100 %;29.94 in
16.03.2014;Sassuolo;Catania;3;1;Serie A;Fair;WSW;50 °F;8 mph;100 %;30.06 in
16.03.2014;Cagliari;Lazio;0;2;Serie A;Fair;W;5 mph;52 °F;76 %;29.53 in
16.03.2014;Milan;Parma;2;4;Serie A;Fair;W;5 mph;52 °F;76 %;29.53 in
16.03.2014;Fiorentina;Chievo;3;1;Serie A;Partly Cloudy;ESE;6 mph;52 °F;82 %;29.84 in
16.03.2014;Genoa;Juventus;0;1;Serie A;Partly Cloudy;NNE;6 mph;54 °F;82 %;29.96 in
17.03.2014;Torino;Napoli;0;1;Serie A;Fair;CALM;0 mph;52 °F;54 %;29.05 in
17.03.2014;Roma;Udinese;3;2;Serie A;Fair;W;1 mph;50 °F;82 %;29.60 in
08.03.2014;Udinese;Milan;1;0;Serie A;Fair;SE;5 mph;50 °F;50 %;30.20 in
08.03.2014;Catania;Cagliari;1;1;Serie A;Partly Cloudy;N;3 mph;50 °F;71 %;29.91 in
09.03.2014;Juventus;Fiorentina;1;0;Serie A;Fair;S;5 mph;43 °F;76 %;30.29 in
09.03.2014;Lazio;Atalanta;0;1;Serie A;Fair;E;2 mph;45 °F;76 %;29.78 in
09.03.2014;Chievo;Genoa;2;1;Serie A;Fair;N;2 mph;46 °F;81 %;30.06 in
09.03.2014;Parma;Hellas Verona;2;0;Serie A;Fair;S;5 mph;43 °F;76 %;30.29 in
09.03.2014;Sampdoria;Livorno;4;2;Serie A;Fair;VAR;3 mph;46 °F;71 %;30.41 in
09.03.2014;Bologna;Sassuolo;0;0;Serie A;Fair;SSW;8 mph;43 °F;76 %;30.24 in
09.03.2014;Inter;Torino;1;0;Serie A;Fair;N;2 mph;46 °F;81 %;30.06 in
