date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
20.05.2022;Real Madrid;Real Betis;0;0;La Liga;Fair;VAR;1 mph;77 °F;39 %;28.00 in
20.05.2022;Rayo Vallecano;Levante;2;4;La Liga;Fair;VAR;1 mph;77 °F;39 %;28.00 in
21.05.2022;Valencia;Celta Vigo;2;0;La Liga;Fair;WNW;3 mph;70 °F;64 %;29.98 in
22.05.2022;Elche;Getafe;3;1;La Liga;Fair;NNE;3 mph;81 °F;30 %;27.89 in
22.05.2022;Alaves;Cadiz;0;1;La Liga;Mostly Cloudy;WNW;7 mph;64 °F;94 %;29.91 in
22.05.2022;Granada;Espanyol;0;0;La Liga;Fair;N;6 mph;82 °F;24 %;28.09 in
22.05.2022;Osasuna;Mallorca;0;2;La Liga;Fair;N;7 mph;64 °F;83 %;29.50 in
22.05.2022;Barcelona;Villarreal;0;2;La Liga;Fair;WSW;8 mph;70 °F;73 %;29.98 in
22.05.2022;R. Sociedad;Atl. Madrid;1;2;La Liga;Fair;NNE;3 mph;81 °F;30 %;27.89 in
22.05.2022;Sevilla;Ath. Bilbao;1;0;La Liga;Fair;NNE;3 mph;81 °F;30 %;27.89 in
14.05.2022;Espanyol;Valencia;1;1;La Liga;Fair;N;3 mph;70 °F;40 %;28.00 in
15.05.2022;Ath. Bilbao;Osasuna;2;0;La Liga;Fair;ESE;5 mph;64 °F;88 %;29.79 in
15.05.2022;Atl. Madrid;Sevilla;1;1;La Liga;Fair;NNE;5 mph;70 °F;53 %;27.89 in
15.05.2022;Real Betis;Granada;2;0;La Liga;Fair;VAR;2 mph;64 °F;68 %;29.80 in
15.05.2022;Celta Vigo;Elche;1;0;La Liga;Fair;NNE;5 mph;70 °F;53 %;27.89 in
15.05.2022;Mallorca;Rayo Vallecano;2;1;La Liga;Fair;NE;1 mph;69 °F;53 %;28.08 in
15.05.2022;Getafe;Barcelona;0;0;La Liga;Fair;VAR;2 mph;64 °F;68 %;29.80 in
15.05.2022;Cadiz;Real Madrid;1;1;La Liga;Fair;NE;1 mph;69 °F;53 %;28.08 in
15.05.2022;Levante;Alaves;3;1;La Liga;Fair;NNE;5 mph;70 °F;53 %;27.89 in
15.05.2022;Villarreal;R. Sociedad;1;2;La Liga;Fair;ESE;5 mph;64 °F;88 %;29.79 in
10.05.2022;Valencia;Real Betis;0;3;La Liga;Fair;NW;3 mph;63 °F;63 %;29.98 in
10.05.2022;Granada;Ath. Bilbao;1;0;La Liga;Fair;N;2 mph;67 °F;39 %;28.23 in
10.05.2022;Barcelona;Celta Vigo;3;1;La Liga;Fair;CALM;0 mph;63 °F;88 %;30.19 in
11.05.2022;Alaves;Espanyol;2;1;La Liga;Fair;VAR;2 mph;57 °F;94 %;29.97 in
11.05.2022;Osasuna;Getafe;1;1;La Liga;Fair;VAR;1 mph;55 °F;82 %;29.64 in
11.05.2022;Sevilla;Mallorca;0;0;La Liga;Fair;S;2 mph;70 °F;43 %;28.00 in
11.05.2022;Elche;Atl. Madrid;0;2;La Liga;Fair;S;2 mph;70 °F;43 %;28.00 in
12.05.2022;R. Sociedad;Cadiz;3;0;La Liga;Fair;VAR;1 mph;72 °F;41 %;27.98 in
12.05.2022;Rayo Vallecano;Villarreal;1;5;La Liga;Fair;VAR;1 mph;72 °F;41 %;27.98 in
12.05.2022;Real Madrid;Levante;6;0;La Liga;Fair;VAR;1 mph;72 °F;41 %;27.98 in
06.05.2022;Levante;R. Sociedad;2;1;La Liga;Fair;ENE;6 mph;61 °F;48 %;28.09 in
07.05.2022;Mallorca;Granada;2;6;La Liga;Fair;S;1 mph;55 °F;69 %;28.20 in
07.05.2022;Ath. Bilbao;Valencia;0;0;La Liga;Fair;E;5 mph;52 °F;94 %;30.23 in
