date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
19.05.2000;Samsunspor;Gençlerbirliği;1;2;Süper Lig;Fair;WSW;56 °F;8 mph;93 %;30.06 in
20.05.2000;Göztepe;Vanspor;2;1;Süper Lig;Fair;W;68 °F;5 mph;49 %;29.45 in
20.05.2000;Fenerbahçe;Denizlispor;2;1;Süper Lig;Fair;CALM;61 °F;0 mph;77 %;29.70 in
20.05.2000;Adanaspor;Gaziantepspor;3;0;Süper Lig;Fair;CALM;61 °F;0 mph;77 %;29.70 in
21.05.2000;Galatasaray;İstanbulspor;1;1;Süper Lig;Fair;CALM;66 °F;0 mph;40 %;29.70 in
21.05.2000;Ankaragücü;Trabzonspor;1;1;Süper Lig;Fair;CALM;66 °F;0 mph;40 %;29.70 in
21.05.2000;Bursaspor;Kocaelispor;2;0;Süper Lig;Fair;CALM;66 °F;0 mph;40 %;29.70 in
21.05.2000;Antalyaspor;Altay;3;1;Süper Lig;Fair;NNE;68 °F;2 mph;83 %;29.71 in
21.05.2000;Erzurumspor;Beşiktaş;1;4;Süper Lig;Fair;CALM;66 °F;0 mph;40 %;29.70 in
12.05.2000;Gaziantepspor;Ankaragücü;2;2;Süper Lig;Fair;CALM;64 °F;0 mph;56 %;29.88 in
12.05.2000;Gençlerbirliği;Erzurumspor;5;0;Süper Lig;Fair;CALM;64 °F;0 mph;56 %;29.88 in
12.05.2000;İstanbulspor;Adanaspor;3;2;Süper Lig;Fair;CALM;64 °F;0 mph;56 %;29.88 in
12.05.2000;Kocaelispor;Antalyaspor;1;1;Süper Lig;Fair;CALM;64 °F;0 mph;56 %;29.88 in
12.05.2000;Altay;Galatasaray;1;0;Süper Lig;Fair;CALM;64 °F;0 mph;56 %;29.88 in
12.05.2000;Vanspor;Bursaspor;3;1;Süper Lig;Fair;CALM;64 °F;0 mph;56 %;29.88 in
13.05.2000;Denizlispor;Göztepe;2;0;Süper Lig;Fair;NNE;66 °F;8 mph;73 %;29.85 in
13.05.2000;Trabzonspor;Samsunspor;3;2;Süper Lig;Mostly Cloudy;VAR;61 °F;3 mph;59 %;29.87 in
14.05.2000;Beşiktaş;Fenerbahçe;1;3;Süper Lig;Mostly Cloudy;ENE;59 °F;17 mph;88 %;30.02 in
05.05.2000;Fenerbahçe;Gençlerbirliği;1;3;Süper Lig;Partly Cloudy;NE;50 °F;18 mph;62 %;29.99 in
06.05.2000;Bursaspor;Denizlispor;4;1;Süper Lig;Partly Cloudy;NNE;52 °F;9 mph;71 %;29.97 in
06.05.2000;Gaziantepspor;Trabzonspor;3;0;Süper Lig;Partly Cloudy;NNE;52 °F;9 mph;71 %;29.97 in
06.05.2000;Göztepe;Beşiktaş;2;4;Süper Lig;Fair;N;54 °F;18 mph;54 %;29.56 in
07.05.2000;Ankaragücü;İstanbulspor;2;2;Süper Lig;Fair;CALM;54 °F;0 mph;41 %;30.02 in
07.05.2000;Samsunspor;Erzurumspor;2;1;Süper Lig;Fair;WSW;64 °F;6 mph;82 %;30.06 in
07.05.2000;Adanaspor;Altay;1;0;Süper Lig;Fair;CALM;54 °F;0 mph;41 %;30.02 in
07.05.2000;Antalyaspor;Vanspor;4;1;Süper Lig;Mostly Cloudy;NW;61 °F;2 mph;82 %;29.80 in
07.05.2000;Galatasaray;Kocaelispor;5;0;Süper Lig;Fair;CALM;54 °F;0 mph;41 %;30.02 in
28.04.2000;Beşiktaş;Bursaspor;5;1;Süper Lig;Mostly Cloudy;NE;54 °F;10 mph;88 %;29.88 in
29.04.2000;Denizlispor;Antalyaspor;4;0;Süper Lig;Mostly Cloudy;SSW;55 °F;2 mph;88 %;29.85 in
29.04.2000;İstanbulspor;Trabzonspor;5;1;Süper Lig;Mostly Cloudy;SSW;55 °F;2 mph;88 %;29.85 in
29.04.2000;Kocaelispor;Adanaspor;0;0;Süper Lig;Mostly Cloudy;SSW;55 °F;2 mph;88 %;29.85 in
29.04.2000;Altay;Ankaragücü;0;0;Süper Lig;Mostly Cloudy;SSW;55 °F;2 mph;88 %;29.85 in
29.04.2000;Vanspor;Galatasaray;1;3;Süper Lig;Mostly Cloudy;SSW;55 °F;2 mph;88 %;29.85 in
30.04.2000;Gençlerbirliği;Göztepe;1;0;Süper Lig;Mostly Cloudy;CALM;61 °F;0 mph;82 %;29.91 in
30.04.2000;Samsunspor;Gaziantepspor;0;2;Süper Lig;Fair;WSW;62 °F;4 mph;69 %;30.06 in
30.04.2000;Erzurumspor;Fenerbahçe;1;5;Süper Lig;Mostly Cloudy;CALM;61 °F;0 mph;82 %;29.91 in
21.04.2000;Fenerbahçe;Samsunspor;1;0;Süper Lig;Mostly Cloudy;NNW;54 °F;10 mph;88 %;29.52 in
22.04.2000;Trabzonspor;Altay;2;1;Süper Lig;Mostly Cloudy;VAR;66 °F;3 mph;46 %;29.64 in
22.04.2000;Bursaspor;Gençlerbirliği;2;5;Süper Lig;Mostly Cloudy;WSW;57 °F;5 mph;82 %;29.73 in
22.04.2000;Adanaspor;Vanspor;2;0;Süper Lig;Mostly Cloudy;WSW;57 °F;5 mph;82 %;29.73 in
