date;home_team;away_team;home_score;away_score;League;weather;wind;wind_speed;temperature;humidity;pressure
18.05.2016;Konyaspor;Beşiktaş;2;1;Süper Lig;Fair;NW;16 mph;61 °F;52 %;26.40 in
18.05.2016;Mersin İ.Y.;Bursaspor;2;5;Süper Lig;Fair;ENE;12 mph;59 °F;72 %;29.91 in
18.05.2016;Başakşehir;Ç. Rizespor;1;0;Süper Lig;Fair;ENE;12 mph;59 °F;72 %;29.91 in
19.05.2016;Sivasspor;Fenerbahçe;2;2;Süper Lig;Mostly Cloudy;VAR;2 mph;45 °F;93 %;25.63 in
19.05.2016;Trabzonspor;Kasımpaşa;0;6;Süper Lig;Mostly Cloudy;SW;7 mph;61 °F;82 %;29.75 in
19.05.2016;Gençlerbirliği;Eskişehirspor;3;1;Süper Lig;Fair;ESE;5 mph;61 °F;59 %;29.91 in
19.05.2016;Sincan Bld Ankaraspor;Akhisarspor;1;0;Süper Lig;Fair;ESE;5 mph;61 °F;59 %;29.91 in
19.05.2016;Gaziantepspor;Antalyaspor;2;0;Süper Lig;Fair;ESE;5 mph;61 °F;59 %;29.91 in
19.05.2016;Galatasaray;Kayserispor;6;0;Süper Lig;Fair;ESE;5 mph;61 °F;59 %;29.91 in
13.05.2016;Antalyaspor;Trabzonspor;7;0;Süper Lig;Mostly Cloudy;VAR;2 mph;66 °F;94 %;29.71 in
14.05.2016;Bursaspor;Konyaspor;1;1;Süper Lig;Fair;SSW;5 mph;66 °F;78 %;29.61 in
14.05.2016;Ç. Rizespor;Gaziantepspor;1;0;Süper Lig;Light Rain with Thunder;SSW;9 mph;70 °F;78 %;29.55 in
14.05.2016;Kayserispor;Sivasspor;1;1;Süper Lig;Partly Cloudy;NW;3 mph;61 °F;77 %;26.36 in
14.05.2016;Eskişehirspor;Başakşehir;1;2;Süper Lig;Fair;SSW;5 mph;66 °F;78 %;29.61 in
15.05.2016;Akhisarspor;Galatasaray;1;2;Süper Lig;Fair / Windy;SW;21 mph;68 °F;73 %;29.67 in
15.05.2016;Fenerbahçe;Gençlerbirliği;2;1;Süper Lig;Fair / Windy;SW;21 mph;68 °F;73 %;29.67 in
15.05.2016;Kasımpaşa;Mersin İ.Y.;7;0;Süper Lig;Fair / Windy;SW;21 mph;68 °F;73 %;29.67 in
15.05.2016;Beşiktaş;Sincan Bld Ankaraspor;3;1;Süper Lig;Fair / Windy;SW;21 mph;68 °F;73 %;29.67 in
07.05.2016;Sivasspor;Gençlerbirliği;2;1;Süper Lig;Light Rain;CALM;0 mph;39 °F;93 %;25.60 in
