date;home_team;away_team;home_score;away_score;League
21.05.2022;Angers;Montpellier;2;0;Ligue 1
21.05.2022;Brest;Bordeaux;2;4;Ligue 1
21.05.2022;Clermont;Lyon;1;2;Ligue 1
21.05.2022;Lens;Monaco;2;2;Ligue 1
21.05.2022;Lille;Rennes;2;2;Ligue 1
21.05.2022;Lorient;Troyes;1;1;Ligue 1
21.05.2022;Marsilya;Strasbourg;4;0;Ligue 1
21.05.2022;Nantes;St Etienne;1;1;Ligue 1
21.05.2022;PSG;Metz;5;0;Ligue 1
21.05.2022;Reims;Nice;2;3;Ligue 1
14.05.2022;Bordeaux;Lorient;0;0;Ligue 1
14.05.2022;Lyon;Nantes;3;2;Ligue 1
14.05.2022;Metz;Angers;1;0;Ligue 1
14.05.2022;Monaco;Brest;4;2;Ligue 1
14.05.2022;Montpellier;PSG;0;4;Ligue 1
14.05.2022;Nice;Lille;1;3;Ligue 1
14.05.2022;Rennes;Marsilya;2;0;Ligue 1
14.05.2022;St Etienne;Reims;1;2;Ligue 1
14.05.2022;Strasbourg;Clermont;1;0;Ligue 1
14.05.2022;Troyes;Lens;1;3;Ligue 1
06.05.2022;Lille;Monaco;1;2;Ligue 1
07.05.2022;Brest;Strasbourg;0;1;Ligue 1
08.05.2022;Metz;Lyon;3;2;Ligue 1
08.05.2022;Angers;Bordeaux;4;1;Ligue 1
08.05.2022;Clermont;Montpellier;2;1;Ligue 1
08.05.2022;Reims;Lens;1;2;Ligue 1
08.05.2022;Lorient;Marsilya;0;3;Ligue 1
08.05.2022;PSG;Troyes;2;2;Ligue 1
11.05.2022;Nice;St Etienne;4;2;Ligue 1
11.05.2022;Nantes;Rennes;2;1;Ligue 1
29.04.2022;Strasbourg;PSG;3;3;Ligue 1
30.04.2022;Lens;Nantes;2;2;Ligue 1
30.04.2022;Rennes;St Etienne;2;0;Ligue 1
01.05.2022;Troyes;Lille;3;0;Ligue 1
01.05.2022;Brest;Clermont;2;0;Ligue 1
01.05.2022;Lorient;Reims;1;2;Ligue 1
01.05.2022;Monaco;Angers;2;0;Ligue 1
01.05.2022;Montpellier;Metz;2;2;Ligue 1
01.05.2022;Bordeaux;Nice;0;1;Ligue 1
01.05.2022;Marsilya;Lyon;0;3;Ligue 1
23.04.2022;Lyon;Montpellier;5;2;Ligue 1
23.04.2022;St Etienne;Monaco;1;4;Ligue 1
23.04.2022;PSG;Lens;1;1;Ligue 1
24.04.2022;Rennes;Lorient;5;0;Ligue 1
24.04.2022;Clermont;Angers;2;2;Ligue 1
24.04.2022;Metz;Brest;0;1;Ligue 1
24.04.2022;Nantes;Bordeaux;5;3;Ligue 1
24.04.2022;Nice;Troyes;1;0;Ligue 1
24.04.2022;Lille;Strasbourg;1;0;Ligue 1
24.04.2022;Reims;Marsilya;0;1;Ligue 1
20.04.2022;Bordeaux;St Etienne;2;2;Ligue 1
20.04.2022;Lorient;Metz;1;0;Ligue 1
20.04.2022;Monaco;Nice;1;0;Ligue 1
20.04.2022;Reims;Lille;2;1;Ligue 1
20.04.2022;Troyes;Clermont;0;1;Ligue 1
20.04.2022;Angers;PSG;0;3;Ligue 1
20.04.2022;Brest;Lyon;2;1;Ligue 1
20.04.2022;Lens;Montpellier;2;0;Ligue 1
20.04.2022;Marsilya;Nantes;3;2;Ligue 1
20.04.2022;Strasbourg;Rennes;2;1;Ligue 1
15.04.2022;Rennes;Monaco;2;3;Ligue 1
16.04.2022;St Etienne;Brest;2;1;Ligue 1
16.04.2022;Lille;Lens;1;2;Ligue 1
17.04.2022;Nice;Lorient;2;1;Ligue 1
17.04.2022;Metz;Clermont;1;1;Ligue 1
17.04.2022;Montpellier;Reims;0;0;Ligue 1
17.04.2022;Nantes;Angers;1;1;Ligue 1
17.04.2022;Troyes;Strasbourg;1;1;Ligue 1
17.04.2022;Lyon;Bordeaux;6;1;Ligue 1
17.04.2022;PSG;Marsilya;2;1;Ligue 1
08.04.2022;Lorient;St Etienne;6;2;Ligue 1
09.04.2022;Reims;Rennes;2;3;Ligue 1
09.04.2022;Clermont;PSG;1;6;Ligue 1
10.04.2022;Bordeaux;Metz;3;1;Ligue 1
10.04.2022;Angers;Lille;1;1;Ligue 1
10.04.2022;Brest;Nantes;1;1;Ligue 1
10.04.2022;Monaco;Troyes;2;1;Ligue 1
10.04.2022;Lens;Nice;3;0;Ligue 1
10.04.2022;Strasbourg;Lyon;1;1;Ligue 1
10.04.2022;Marsilya;Montpellier;2;0;Ligue 1
02.04.2022;Nice;Rennes;1;1;Ligue 1
02.04.2022;Lille;Bordeaux;0;0;Ligue 1
03.04.2022;Strasbourg;Lens;1;0;Ligue 1
03.04.2022;Clermont;Nantes;2;3;Ligue 1
03.04.2022;Metz;Monaco;1;2;Ligue 1
03.04.2022;Montpellier;Brest;1;2;Ligue 1
03.04.2022;St Etienne;Marsilya;2;4;Ligue 1
03.04.2022;Troyes;Reims;1;0;Ligue 1
03.04.2022;Lyon;Angers;3;2;Ligue 1
03.04.2022;PSG;Lorient;5;1;Ligue 1
18.03.2022;St Etienne;Troyes;1;1;Ligue 1
19.03.2022;Lens;Clermont;3;1;Ligue 1
19.03.2022;Nantes;Lille;0;1;Ligue 1
20.03.2022;Monaco;PSG;3;0;Ligue 1
20.03.2022;Angers;Brest;1;0;Ligue 1
20.03.2022;Bordeaux;Montpellier;0;2;Ligue 1
20.03.2022;Lorient;Strasbourg;0;0;Ligue 1
20.03.2022;Rennes;Metz;6;1;Ligue 1
20.03.2022;Reims;Lyon;0;0;Ligue 1
20.03.2022;Marsilya;Nice;2;1;Ligue 1
11.03.2022;Lille;St Etienne;0;0;Ligue 1
12.03.2022;Montpellier;Nice;0;0;Ligue 1
