date;home_team;away_team;home_score;away_score;League
17.05.2008;Nürnberg;Schalke 04;0;2;Bundesliga
17.05.2008;B. Leverkusen;Werder Bremen;0;1;Bundesliga
17.05.2008;Bayern Münih;Hertha Berlin;4;1;Bundesliga
17.05.2008;Stuttgart;A. Bielefeld;2;2;Bundesliga
17.05.2008;Hannover 96;E. Cottbus;4;0;Bundesliga
17.05.2008;B. Dortmund;Wolfsburg;2;4;Bundesliga
17.05.2008;Hamburg;Karlsruher;7;0;Bundesliga
17.05.2008;Bochum;H. Rostock;1;2;Bundesliga
17.05.2008;E. Frankfurt;Duisburg;4;2;Bundesliga
10.05.2008;Wolfsburg;Stuttgart;4;0;Bundesliga
10.05.2008;Duisburg;Bayern Münih;2;3;Bundesliga
10.05.2008;H. Rostock;B. Leverkusen;1;2;Bundesliga
10.05.2008;Hertha Berlin;Nürnberg;1;0;Bundesliga
10.05.2008;E. Cottbus;Hamburg;2;0;Bundesliga
10.05.2008;Karlsruher;Bochum;1;3;Bundesliga
10.05.2008;A. Bielefeld;B. Dortmund;2;2;Bundesliga
10.05.2008;Werder Bremen;Hannover 96;6;1;Bundesliga
10.05.2008;Schalke 04;E. Frankfurt;1;0;Bundesliga
06.05.2008;B. Dortmund;Stuttgart;3;2;Bundesliga
06.05.2008;Bochum;Schalke 04;0;3;Bundesliga
06.05.2008;Karlsruher;E. Cottbus;1;1;Bundesliga
06.05.2008;Hannover 96;H. Rostock;3;0;Bundesliga
07.05.2008;Hamburg;Werder Bremen;0;1;Bundesliga
07.05.2008;B. Leverkusen;Hertha Berlin;1;2;Bundesliga
07.05.2008;Bayern Münih;A. Bielefeld;2;0;Bundesliga
07.05.2008;E. Frankfurt;Wolfsburg;2;3;Bundesliga
07.05.2008;Nürnberg;Duisburg;2;0;Bundesliga
02.05.2008;B. Dortmund;Nürnberg;0;0;Bundesliga
03.05.2008;H. Rostock;Hamburg;1;3;Bundesliga
03.05.2008;A. Bielefeld;Bochum;2;0;Bundesliga
03.05.2008;Schalke 04;Hannover 96;1;1;Bundesliga
03.05.2008;Werder Bremen;E. Cottbus;2;0;Bundesliga
03.05.2008;Stuttgart;E. Frankfurt;4;1;Bundesliga
03.05.2008;Hertha Berlin;Karlsruher;3;1;Bundesliga
04.05.2008;Wolfsburg;Bayern Münih;0;0;Bundesliga
04.05.2008;Duisburg;B. Leverkusen;3;2;Bundesliga
25.04.2008;E. Frankfurt;B. Dortmund;1;1;Bundesliga
26.04.2008;Hamburg;Schalke 04;0;1;Bundesliga
26.04.2008;Karlsruher;Werder Bremen;3;3;Bundesliga
26.04.2008;Hannover 96;Hertha Berlin;2;2;Bundesliga
26.04.2008;Nürnberg;A. Bielefeld;2;2;Bundesliga
26.04.2008;E. Cottbus;H. Rostock;2;1;Bundesliga
26.04.2008;Bochum;Duisburg;1;1;Bundesliga
27.04.2008;Bayern Münih;Stuttgart;4;1;Bundesliga
27.04.2008;B. Leverkusen;Wolfsburg;2;2;Bundesliga
15.04.2008;H. Rostock;Werder Bremen;1;2;Bundesliga
15.04.2008;Hertha Berlin;Hamburg;0;0;Bundesliga
15.04.2008;Wolfsburg;Bochum;0;1;Bundesliga
15.04.2008;Schalke 04;E. Cottbus;5;0;Bundesliga
16.04.2008;E. Frankfurt;Bayern Münih;1;3;Bundesliga
16.04.2008;A. Bielefeld;B. Leverkusen;1;0;Bundesliga
16.04.2008;Stuttgart;Nürnberg;3;0;Bundesliga
16.04.2008;B. Dortmund;Hannover 96;1;3;Bundesliga
16.04.2008;Duisburg;Karlsruher;0;1;Bundesliga
12.04.2008;Werder Bremen;Schalke 04;5;1;Bundesliga
12.04.2008;Bochum;Hertha Berlin;1;1;Bundesliga
12.04.2008;E. Cottbus;A. Bielefeld;1;0;Bundesliga
12.04.2008;Hannover 96;E. Frankfurt;2;1;Bundesliga
12.04.2008;Karlsruher;H. Rostock;1;2;Bundesliga
12.04.2008;Hamburg;Duisburg;0;1;Bundesliga
13.04.2008;B. Leverkusen;Stuttgart;3;0;Bundesliga
13.04.2008;Bayern Münih;B. Dortmund;5;0;Bundesliga
20.04.2008;Nürnberg;Wolfsburg;1;0;Bundesliga
04.04.2008;Duisburg;E. Cottbus;0;1;Bundesliga
05.04.2008;Hertha Berlin;Werder Bremen;1;2;Bundesliga
05.04.2008;E. Frankfurt;Nürnberg;1;3;Bundesliga
05.04.2008;Stuttgart;Hamburg;1;0;Bundesliga
05.04.2008;Wolfsburg;Hannover 96;3;2;Bundesliga
05.04.2008;A. Bielefeld;Karlsruher;1;0;Bundesliga
05.04.2008;Schalke 04;H. Rostock;1;0;Bundesliga
06.04.2008;B. Dortmund;B. Leverkusen;2;1;Bundesliga
06.04.2008;Bayern Münih;Bochum;3;1;Bundesliga
28.03.2008;H. Rostock;Wolfsburg;0;1;Bundesliga
29.03.2008;Karlsruher;Schalke 04;0;0;Bundesliga
29.03.2008;Nürnberg;Bayern Münih;1;1;Bundesliga
29.03.2008;Bochum;B. Dortmund;3;3;Bundesliga
29.03.2008;Hamburg;A. Bielefeld;1;1;Bundesliga
29.03.2008;B. Leverkusen;E. Frankfurt;0;2;Bundesliga
29.03.2008;Werder Bremen;Duisburg;1;2;Bundesliga
30.03.2008;Hannover 96;Stuttgart;0;0;Bundesliga
30.03.2008;E. Cottbus;Hertha Berlin;2;1;Bundesliga
20.03.2008;E. Frankfurt;E. Cottbus;2;1;Bundesliga
22.03.2008;Bayern Münih;B. Leverkusen;2;1;Bundesliga
22.03.2008;Wolfsburg;Hamburg;1;1;Bundesliga
22.03.2008;Nürnberg;Bochum;1;1;Bundesliga
22.03.2008;Duisburg;Hannover 96;1;1;Bundesliga
22.03.2008;B. Dortmund;Karlsruher;1;1;Bundesliga
22.03.2008;Stuttgart;H. Rostock;4;1;Bundesliga
23.03.2008;Hertha Berlin;Schalke 04;1;2;Bundesliga
23.03.2008;A. Bielefeld;Werder Bremen;1;1;Bundesliga
14.03.2008;Schalke 04;Duisburg;2;1;Bundesliga
15.03.2008;Bochum;Stuttgart;1;1;Bundesliga
15.03.2008;E. Cottbus;Bayern Münih;2;0;Bundesliga
15.03.2008;Hamburg;B. Dortmund;1;0;Bundesliga
15.03.2008;H. Rostock;Hertha Berlin;0;0;Bundesliga
15.03.2008;Hannover 96;A. Bielefeld;2;2;Bundesliga
15.03.2008;Karlsruher;E. Frankfurt;0;1;Bundesliga
16.03.2008;B. Leverkusen;Nürnberg;4;1;Bundesliga
16.03.2008;Werder Bremen;Wolfsburg;0;1;Bundesliga
