date;home_team;away_team;home_score;away_score;League
05.01.2000;Venezia;Lazio;2;0;Serie A
06.01.2000;Roma;Bari;3;1;Serie A
06.01.2000;Juventus;Hellas Verona;1;0;Serie A
06.01.2000;Inter;Perugia;5;0;Serie A
06.01.2000;Udinese;Parma;0;1;Serie A
06.01.2000;Bologna;Cagliari;1;0;Serie A
06.01.2000;Lecce;Fiorentina;0;0;Serie A
06.01.2000;Reggina;Torino;2;1;Serie A
06.01.2000;Piacenza;Milan;0;1;Serie A
09.01.2000;Milan;Roma;2;2;Serie A
09.01.2000;Parma;Juventus;1;1;Serie A
09.01.2000;Lazio;Bologna;3;1;Serie A
09.01.2000;Cagliari;Piacenza;3;0;Serie A
09.01.2000;Fiorentina;Inter;2;1;Serie A
09.01.2000;Perugia;Udinese;0;5;Serie A
09.01.2000;Torino;Lecce;1;2;Serie A
09.01.2000;Hellas Verona;Reggina;1;1;Serie A
09.01.2000;Bari;Venezia;3;0;Serie A
15.01.2000;Bologna;Bari;1;0;Serie A
15.01.2000;Venezia;Fiorentina;2;1;Serie A
16.01.2000;Roma;Hellas Verona;3;1;Serie A
16.01.2000;Juventus;Perugia;3;0;Serie A
16.01.2000;Inter;Cagliari;2;1;Serie A
16.01.2000;Udinese;Milan;1;2;Serie A
16.01.2000;Lecce;Parma;0;0;Serie A
16.01.2000;Reggina;Lazio;0;0;Serie A
16.01.2000;Piacenza;Torino;0;2;Serie A
22.01.2000;Roma;Piacenza;2;1;Serie A
22.01.2000;Cagliari;Lazio;0;0;Serie A
23.01.2000;Milan;Lecce;2;2;Serie A
23.01.2000;Parma;Perugia;1;2;Serie A
23.01.2000;Udinese;Venezia;5;2;Serie A
23.01.2000;Reggina;Juventus;0;2;Serie A
23.01.2000;Torino;Bologna;2;1;Serie A
23.01.2000;Hellas Verona;Inter;1;2;Serie A
23.01.2000;Bari;Fiorentina;1;0;Serie A
29.01.2000;Lecce;Hellas Verona;2;1;Serie A
29.01.2000;Piacenza;Udinese;0;1;Serie A
30.01.2000;Juventus;Cagliari;1;1;Serie A
30.01.2000;Inter;Roma;2;1;Serie A
30.01.2000;Lazio;Bari;3;1;Serie A
30.01.2000;Bologna;Parma;1;0;Serie A
30.01.2000;Fiorentina;Reggina;1;0;Serie A
30.01.2000;Perugia;Milan;0;3;Serie A
30.01.2000;Venezia;Torino;2;2;Serie A
05.02.2000;Udinese;Juventus;1;1;Serie A
05.02.2000;Cagliari;Perugia;2;1;Serie A
06.02.2000;Milan;Bari;4;1;Serie A
06.02.2000;Roma;Venezia;5;0;Serie A
06.02.2000;Parma;Inter;1;1;Serie A
06.02.2000;Lecce;Piacenza;0;1;Serie A
06.02.2000;Reggina;Bologna;1;0;Serie A
06.02.2000;Torino;Lazio;2;4;Serie A
06.02.2000;Hellas Verona;Fiorentina;2;2;Serie A
12.02.2000;Bologna;Milan;2;3;Serie A
12.02.2000;Bari;Hellas Verona;1;1;Serie A
13.02.2000;Juventus;Lecce;1;0;Serie A
13.02.2000;Inter;Torino;1;1;Serie A
13.02.2000;Lazio;Parma;0;0;Serie A
13.02.2000;Fiorentina;Udinese;1;1;Serie A
13.02.2000;Perugia;Roma;2;2;Serie A
13.02.2000;Piacenza;Reggina;0;0;Serie A
13.02.2000;Venezia;Cagliari;3;0;Serie A
19.02.2000;Roma;Fiorentina;4;0;Serie A
19.02.2000;Reggina;Perugia;1;1;Serie A
20.02.2000;Milan;Lazio;2;1;Serie A
20.02.2000;Udinese;Bari;5;1;Serie A
20.02.2000;Lecce;Bologna;1;1;Serie A
20.02.2000;Piacenza;Inter;1;3;Serie A
20.02.2000;Torino;Cagliari;1;1;Serie A
20.02.2000;Venezia;Juventus;0;4;Serie A
20.02.2000;Hellas Verona;Parma;4;3;Serie A
26.02.2000;Parma;Fiorentina;0;4;Serie A
26.02.2000;Lazio;Udinese;2;1;Serie A
27.02.2000;Juventus;Roma;2;1;Serie A
27.02.2000;Inter;Venezia;3;0;Serie A
27.02.2000;Bologna;Piacenza;0;0;Serie A
27.02.2000;Reggina;Lecce;2;1;Serie A
27.02.2000;Cagliari;Milan;0;0;Serie A
27.02.2000;Perugia;Hellas Verona;0;0;Serie A
