date;home_team;away_team;home_score;away_score;League
21.05.2011;Malaga;Barcelona;1;3;La Liga
21.05.2011;Real Madrid;Almeria;8;1;La Liga
21.05.2011;Hercules;Sporting Gijon;0;0;La Liga
21.05.2011;Osasuna;Villarreal;1;0;La Liga
21.05.2011;R. Sociedad;Getafe;1;1;La Liga
21.05.2011;Espanyol;Sevilla;2;3;La Liga
21.05.2011;Levante;Real Zaragoza;1;2;La Liga
21.05.2011;Deportivo;Valencia;0;2;La Liga
21.05.2011;R. Santander;Ath. Bilbao;1;2;La Liga
21.05.2011;Mallorca;Atl. Madrid;3;4;La Liga
15.05.2011;Almeria;Mallorca;3;1;La Liga
15.05.2011;Villarreal;Real Madrid;1;3;La Liga
15.05.2011;Getafe;Osasuna;2;0;La Liga
15.05.2011;Sevilla;R. Sociedad;3;1;La Liga
15.05.2011;Real Zaragoza;Espanyol;1;0;La Liga
15.05.2011;Valencia;Levante;0;0;La Liga
15.05.2011;Barcelona;Deportivo;0;0;La Liga
15.05.2011;Ath. Bilbao;Malaga;1;1;La Liga
15.05.2011;Sporting Gijon;R. Santander;2;1;La Liga
15.05.2011;Atl. Madrid;Hercules;2;1;La Liga
10.05.2011;Deportivo;Ath. Bilbao;2;1;La Liga
10.05.2011;Malaga;Sporting Gijon;2;0;La Liga
10.05.2011;R. Santander;Atl. Madrid;2;1;La Liga
10.05.2011;Real Madrid;Getafe;4;0;La Liga
11.05.2011;Almeria;Villarreal;0;0;La Liga
11.05.2011;R. Sociedad;Real Zaragoza;2;1;La Liga
11.05.2011;Levante;Barcelona;1;1;La Liga
11.05.2011;Espanyol;Valencia;2;2;La Liga
11.05.2011;Hercules;Mallorca;2;2;La Liga
11.05.2011;Osasuna;Sevilla;3;2;La Liga
07.05.2011;Getafe;Almeria;2;0;La Liga
07.05.2011;Valencia;R. Sociedad;3;0;La Liga
07.05.2011;Ath. Bilbao;Levante;3;2;La Liga
07.05.2011;Sporting Gijon;Deportivo;2;2;La Liga
07.05.2011;Hercules;R. Santander;2;3;La Liga
07.05.2011;Atl. Madrid;Malaga;0;3;La Liga
07.05.2011;Sevilla;Real Madrid;2;6;La Liga
08.05.2011;Mallorca;Villarreal;0;0;La Liga
08.05.2011;Barcelona;Espanyol;2;0;La Liga
08.05.2011;Real Zaragoza;Osasuna;1;3;La Liga
30.04.2011;Real Madrid;Real Zaragoza;2;3;La Liga
30.04.2011;R. Sociedad;Barcelona;2;1;La Liga
30.04.2011;Deportivo;Atl. Madrid;0;1;La Liga
