date;home_team;away_team;home_score;away_score;League
15.05.2021;Ankaragücü;Alanyaspor;0;1;Süper Lig
15.05.2021;Sivasspor;Kasımpaşa;2;1;Süper Lig
15.05.2021;Ç. Rizespor;Başakşehir;0;2;Süper Lig
15.05.2021;Hatayspor;Gaziantep FK;0;1;Süper Lig
15.05.2021;F. Karagümrük;Denizlispor;5;1;Süper Lig
15.05.2021;Antalyaspor;Konyaspor;0;0;Süper Lig
15.05.2021;Kayserispor;Fenerbahçe;1;2;Süper Lig
15.05.2021;Galatasaray;Yeni Malatyaspor;3;1;Süper Lig
15.05.2021;Göztepe;Beşiktaş;1;2;Süper Lig
15.05.2021;Trabzonspor;Gençlerbirliği;2;1;Süper Lig
11.05.2021;Konyaspor;Trabzonspor;1;1;Süper Lig
11.05.2021;Alanyaspor;Erzurumspor FK;2;3;Süper Lig
11.05.2021;Kasımpaşa;Ankaragücü;3;1;Süper Lig
11.05.2021;Fenerbahçe;Sivasspor;1;2;Süper Lig
11.05.2021;Başakşehir;Kayserispor;0;0;Süper Lig
11.05.2021;Gaziantep FK;Ç. Rizespor;4;5;Süper Lig
11.05.2021;Yeni Malatyaspor;Hatayspor;1;1;Süper Lig
11.05.2021;Denizlispor;Galatasaray;1;4;Süper Lig
11.05.2021;Beşiktaş;F. Karagümrük;1;2;Süper Lig
11.05.2021;Gençlerbirliği;Göztepe;5;3;Süper Lig
08.05.2021;Erzurumspor FK;Kasımpaşa;0;1;Süper Lig
08.05.2021;Ankaragücü;Fenerbahçe;1;2;Süper Lig
08.05.2021;Sivasspor;Başakşehir;0;0;Süper Lig
08.05.2021;Kayserispor;Gaziantep FK;0;0;Süper Lig
08.05.2021;Ç. Rizespor;Yeni Malatyaspor;0;4;Süper Lig
08.05.2021;Hatayspor;Denizlispor;1;0;Süper Lig
08.05.2021;Galatasaray;Beşiktaş;3;1;Süper Lig
08.05.2021;F. Karagümrük;Gençlerbirliği;5;1;Süper Lig
08.05.2021;Göztepe;Konyaspor;0;1;Süper Lig
08.05.2021;Trabzonspor;Antalyaspor;2;1;Süper Lig
01.05.2021;Beşiktaş;Hatayspor;7;0;Süper Lig
02.05.2021;Denizlispor;Ç. Rizespor;0;1;Süper Lig
02.05.2021;Konyaspor;F. Karagümrük;5;1;Süper Lig
02.05.2021;Antalyaspor;Göztepe;2;3;Süper Lig
02.05.2021;Gençlerbirliği;Galatasaray;0;2;Süper Lig
03.05.2021;Başakşehir;Ankaragücü;2;1;Süper Lig
03.05.2021;Yeni Malatyaspor;Kayserispor;1;1;Süper Lig
03.05.2021;Kasımpaşa;Alanyaspor;3;0;Süper Lig
03.05.2021;Fenerbahçe;Erzurumspor FK;3;1;Süper Lig
03.05.2021;Gaziantep FK;Sivasspor;0;1;Süper Lig
27.04.2021;Hatayspor;Gençlerbirliği;3;1;Süper Lig
28.04.2021;Kayserispor;Denizlispor;6;3;Süper Lig
28.04.2021;F. Karagümrük;Antalyaspor;2;2;Süper Lig
28.04.2021;Göztepe;Trabzonspor;1;1;Süper Lig
28.04.2021;Ç. Rizespor;Beşiktaş;2;3;Süper Lig
28.04.2021;Galatasaray;Konyaspor;1;0;Süper Lig
29.04.2021;Erzurumspor FK;Başakşehir;1;2;Süper Lig
29.04.2021;Sivasspor;Yeni Malatyaspor;1;0;Süper Lig
29.04.2021;Ankaragücü;Gaziantep FK;0;1;Süper Lig
29.04.2021;Alanyaspor;Fenerbahçe;0;0;Süper Lig
23.04.2021;Gençlerbirliği;Ç. Rizespor;2;1;Süper Lig
24.04.2021;Konyaspor;Hatayspor;0;0;Süper Lig
24.04.2021;Trabzonspor;F. Karagümrük;2;0;Süper Lig
24.04.2021;Denizlispor;Sivasspor;1;1;Süper Lig
24.04.2021;Beşiktaş;Kayserispor;3;1;Süper Lig
24.04.2021;Antalyaspor;Galatasaray;0;1;Süper Lig
