Marka,Model,Seri,Yıl,Kilometre,Renk,Fiyat,Yer,Yakıt Tipi,Vites Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Yakıt Deposu,Çekiş,Kimden
Audi,3.0 TDI Quattro Long,A8,2010.0,225000.0,Siyah,1650000.0,"Göztepe Mh. Bağcılar, İstanbul",Dizel,Otomatik,Sedan,2501 - 3000 cm3,251 - 275 HP,,4WD (Sürekli),Galeriden
Audi,A3 Sedan 35 TFSI S-Line,A3,2021.0,64500.0,Beyaz,2051900.0,"Terakki Mh. Merkez, Zonguldak",Benzin,Otomatik,Sedan,1401 - 1600 cm3,126 - 150 HP,,Önden Çekiş,Galeriden
Audi,A3 Sedan 1.6 TDI Ambition,A3,2014.0,156000.0,Beyaz,1195000.0,"Hürriyet Mh. Akhisar, Manisa",Dizel,Yarı Otomatik,Sedan,1598 cc,110 hp,50 lt,Önden Çekiş,Galeriden
Audi,A4 Sedan 2.0 TDI Quattro,A4,2013.0,280000.0,Siyah,1475000.0,"İspat Cami Mh. Keşan, Edirne",Dizel,Yarı Otomatik,Sedan,1968 cc,177 hp,63 lt,4WD (Sürekli),Galeriden
Audi,A6 Sedan 2.0 TDI,A6,2015.0,153000.0,Siyah,1945000.0,"Göztepe Mh. Bağcılar, İstanbul",Dizel,Otomatik,Sedan,1801 - 2000 cm3,176 - 200 HP,,Önden Çekiş,Galeriden
Audi,A4 Sedan 2.0 TDI Dynamic,A4,2015.0,287000.0,Beyaz,1090000.0,"Karacaahmet Mh. Şehitkamil, Gaziantep",Dizel,Otomatik,Sedan,1801 - 2000 cm3,176 - 200 HP,,Önden Çekiş,Galeriden
Audi,A3 Sedan 1.6 TDI Ambition,A3,2015.0,217000.0,Beyaz,1055000.0,"Göztepe Mh. Bağcılar, İstanbul",Dizel,Yarı Otomatik,Sedan,1598 cc,110 hp,50 lt,Önden Çekiş,Galeriden
Audi,A6 Sedan 2.0 TDI,A6,2015.0,365000.0,Siyah,1490000.0,"Karacaahmet Mh. Şehitkamil, Gaziantep",Dizel,Otomatik,Sedan,1801 - 2000 cm3,176 - 200 HP,,Önden Çekiş,Galeriden
Audi,A4 Sedan 2.0 TDI,A4,2012.0,317000.0,Beyaz,799000.0,"Yeniçimşit Mh. Sincan, Ankara",Dizel,Otomatik,Sedan,1968 cc,143 hp,65 lt,Önden Çekiş,Galeriden
Audi,A4 Sedan 40 TDI Advanced,A4,2020.0,64000.0,Gri,2210000.0,"Gözlükule Mh. Tarsus, Mersin",Dizel,Otomatik,Sedan,1801 - 2000 cm3,176 - 200 HP,,Önden Çekiş,Galeriden
Audi,A3 Sportback 1.0 TFSI Sport Line,A3,2017.0,140000.0,Gri,1180000.0,"Çıkınlar Mh. Merkez, Bolu",Benzin,Otomatik,Hatchback/5,1200 cm3' e kadar,101 - 125 HP,,Önden Çekiş,Galeriden
Audi,A6 Sedan 2.0 TDI,A6,2012.0,280000.0,Beyaz,1270000.0,"Baraj Mh. Kepez, Antalya",Dizel,Otomatik,Sedan,1968 cc,177 hp,65 lt,Önden Çekiş,Galeriden
Audi,A4 Sedan 2.0 TDI Dynamic,A4,2017.0,138500.0,Beyaz,1420000.0,"Merkez Mh. Güngören, İstanbul",Dizel,Otomatik,Sedan,1801 - 2000 cm3,176 - 200 HP,,Önden Çekiş,Galeriden
Audi,A5 Sportback 40 TDI Quattro Sport,A5,2019.0,133000.0,Gri,2640000.0,"Fevzi Paşa Mh. Merkez, Düzce",Dizel,Otomatik,Hatchback/5,1801 - 2000 cm3,176 - 200 HP,,4WD (Sürekli),Galeriden
Audi,A6 Sedan 40 TDI Quattro Sport,A6,2021.0,77000.0,Gri (Gümüş),4095000.0,"Aratol Bahçeli Mh. Merkez, Aksaray",Dizel,Yarı Otomatik,Sedan,1968 cc,204 hp,63 lt,4WD (Sürekli),Galeriden
Audi,A6 Sedan 2.0 TDI Quattro,A6,2016.0,341000.0,Siyah,1600000.0,"Selahaddin Eyyubi Mh. Patnos, Ağrı",Dizel,Yarı Otomatik,Sedan,1968 cc,190 hp,65 lt,4WD (Sürekli),Galeriden
Audi,A3 Sedan 30 TDI Design,A3,2019.0,76000.0,Beyaz,1359000.0,"Panayır Mh. Osmangazi, Bursa",Dizel,Otomatik,Sedan,1401 - 1600 cm3,101 - 125 HP,,Önden Çekiş,Galeriden
Audi,A6 Sedan 40 TDI Design,A6,2019.0,194000.0,Siyah,3050000.0,"Zümrütevler Mh. Maltepe, İstanbul",Dizel,Otomatik,Sedan,1801 - 2000 cm3,201 - 225 HP,,Önden Çekiş,Galeriden
Audi,A3 Sedan 1.6 TDI Ambition,A3,2016.0,96000.0,Kırmızı,1399000.0,"Ece Mh. Sandıklı, Afyonkarahisar",Dizel,Otomatik,Sedan,1401 - 1600 cm3,101 - 125 HP,,Önden Çekiş,Galeriden
Audi,A3 Sportback 1.6 Attraction,A3,2010.0,194000.0,Siyah,585000.0,"Göztepe Mh. Bağcılar, İstanbul",Benzin,Otomatik,Hatchback/5,1401 - 1600 cm3,101 - 125 HP,,Önden Çekiş,Galeriden
Audi,A5 Sportback 2.0 TDI Quattro,A5,2014.0,288500.0,Siyah,1450000.0,"Yıldızevler Mh. Kocasinan, Kayseri",Dizel,Otomatik,Hatchback/5,1801 - 2000 cm3,176 - 200 HP,,4WD (Sürekli),Galeriden
